name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Bijan Robinson,Running Back,Texas,Big 12,0.5714285714285714,0.5492957746478874,0.6001371029130181,0.6923076923076923,0.6818181818181818,,,0.0,3,1,1,1,0,0,0,0.3230016313213703,0.3846153846153846,0.4454737956590788,0.9125000000000001,0.7354651162790697,0.5325443786982248,0.6975169300225733,0.43999999999999995,0.5,0.5714285714285714,0.4582043343653251,0.6180904522613067,0.4666666666666667,0.34375,0.48606193586994473,0.4567901234567901,0.2916666666666667,0.4,0.3829787234042553,0.5875,0.2709677419354839,0.15384615384615385,0.37720706260032105,0.38655462184873945,,,,,,,,,2023,1.0,1.0,1.0,,0.9
Jahmyr Gibbs,Running Back,Alabama,SEC,0.2857142857142857,0.323943661971831,1.0337004911249479,0.4230769230769231,,,,0.0,3,1,1,1,0,0,0,0.7716150081566068,0.5769230769230769,0.6347273689782953,0.5125000000000001,0.42441860465116277,0.2071005917159763,0.40316027088036116,0.43999999999999995,0.68,0.2857142857142857,0.7213622291021672,0.7185929648241207,0.3333333333333333,0.125,0.3150650775445071,0.3827160493827161,0.4791666666666667,0.6,0.5899419729206963,0.5666666666666667,0.2806451612903226,0.15384615384615385,0.24558587479935795,0.25630252100840334,,,,,,,,,2023,1.0,0.9,0.9,,1.0
Zach Charbonnet,Running Back,UCLA,Pac-12,0.7142857142857143,0.5352112676056338,0.2986224608844345,0.6923076923076923,0.5909090909090909,,,0.3333333333333333,4,1,1,1,1,0,0,0.6460032626427405,0.0,0.4556643726839597,0.425,0.5523255813953488,0.4142011834319526,0.5986455981941309,0.62,0.46,0.0,0.3065015479876161,0.4623115577889447,0.4846153846153846,0.40625,0.49055004238767275,0.43209876543209874,0.10416666666666667,0.0,0.08317214700193423,0.325,0.054838709677419356,0.038461538461538464,0.06741573033707865,0.31512605042016806,0.25,0.0,0.08527131782945736,0.14468085106382977,0.5896414342629482,0.6111111111111112,0.4682642487046632,0.23750000000000004,2023,0.9,0.9,1.0,1.0,0.9
Kendre Miller,Running Back,TCU,Big 12,0.5714285714285714,0.5492957746478874,,,,,,0.0,3,1,1,1,0,0,0,0.2691680261011419,0.0,0.1572260455267337,0.3375000000000001,0.6366279069767442,0.5029585798816567,0.6167042889390519,0.4600000000000001,0.22,0.14285714285714285,0.1826625386996904,0.5427135678391961,0.1794871794871795,0.21875,0.25986136737645243,0.6666666666666667,0.0,0.0,-0.0038684719535783366,-0.125,0.16774193548387098,0.07692307692307693,0.2086677367576244,0.34453781512605036,,,,,,,,,2023,0.9,0.9,0.9,,0.9
Tyjae Spears,Running Back,Tulane,American Athletic,0.42857142857142855,0.352112676056338,,0.8461538461538461,0.7272727272727273,,,0.3333333333333333,4,1,1,1,1,0,0,0.3768352365415987,0.3846153846153846,0.3610375860243515,0.6062500000000001,0.6511627906976745,0.5621301775147929,0.6988713318284424,0.6000000000000001,0.36,0.0,0.2260061919504644,0.43216080402010054,0.29743589743589743,0.28125,0.36757592380192494,0.5679012345679012,0.020833333333333332,0.0,0.061895551257253385,0.6666666666666666,0.11290322580645161,0.07692307692307693,0.14820759764579988,0.35294117647058826,0.14285714285714285,0.3333333333333333,0.35142118863049093,0.6297872340425532,0.12350597609561753,0.05555555555555555,0.12240932642487047,0.375,2023,0.35,0.35,0.35,0.35,0.55
Devon Achane,Running Back,Texas A&M,SEC,0.2857142857142857,0.16901408450704225,1.1451818501692848,0.38461538461538464,,,,0.0,3,1,1,1,0,0,0,0.6280587275693311,0.5769230769230769,0.27368978295394386,0.21875000000000006,0.5552325581395349,0.23668639053254434,0.48261851015801355,0.33999999999999997,0.46,0.14285714285714285,0.4055727554179567,0.5979899497487438,0.3,0.28125,0.3886700244352466,0.6049382716049383,0.08333333333333333,0.2,0.19148936170212766,0.85,0.13225806451612904,0.15384615384615385,0.1958266452648475,0.3991596638655462,,,,,,,,,2023,1.0,1.0,1.0,,1.0
Tank Bigsby,Running Back,Auburn,SEC,0.7142857142857143,0.4788732394366197,0.20478218096438747,0.34615384615384615,0.45454545454545453,,,0.3333333333333333,3,0,1,1,1,0,0,0.5203915171288743,0.0,0.25039703546850184,0.25625000000000003,0.5058139534883721,0.29585798816568043,0.42302483069977426,0.3000000000000001,0.4,0.0,0.28637770897832815,0.492462311557789,0.5384615384615384,0.3125,0.47349523762030626,0.34567901234567905,0.20833333333333334,0.0,0.16634429400386846,0.35833333333333334,0.43870967741935485,0.19230769230769232,0.4472980203317282,0.29411764705882354,,,,,,,,,2023,1.0,1.0,1.0,,1.0
Roschon Johnson,Running Back,Texas,Big 12,0.7142857142857143,0.6056338028169014,0.1534406107151498,0.2692307692307692,0.5909090909090909,,,0.3333333333333333,4,1,1,1,1,0,0,0.23327895595432296,0.1923076923076923,0.17469560614081522,0.45,0.2558139534883721,0.14792899408284022,0.23521444695259594,0.42000000000000004,0.2,0.0,0.13003095975232198,0.4271356783919598,0.2128205128205128,0.15625,0.23562559218072113,0.46913580246913583,0.14583333333333334,0.2,0.10251450676982592,0.30833333333333335,0.25161290322580643,0.23076923076923078,0.2241840556447298,0.2605042016806723,0.7857142857142857,0.3333333333333333,0.4160206718346253,0.21063829787234042,0.4860557768924303,0.3888888888888889,0.4183937823834197,0.2875,2023,1.0,1.0,1.0,1.0,0.9
Israel Abanikanda,Running Back,Pittsburgh,ACC,0.42857142857142855,0.5633802816901409,,,,,,-0.3333333333333333,3,1,1,0,0,0,0,0.19738988580750405,0.1923076923076923,0.2008999470619375,0.64375,0.6802325581395349,0.5917159763313609,0.6311512415349887,0.42000000000000004,0.46,0.14285714285714285,0.3065015479876161,0.4623115577889447,0.28205128205128205,0.21875,0.2724280656260909,0.3950617283950617,0.020833333333333332,0.2,0.025145067698259187,0.2708333333333333,0.08387096774193549,0.038461538461538464,0.051899411449973246,0.18487394957983194,,,,,,,,,2023,0.9,0.9,0.9,,0.9
Chase Brown,Running Back,Illinois,Big Ten,0.42857142857142855,0.4647887323943662,0.747040599003748,0.9230769230769231,0.8181818181818182,,,0.6666666666666666,4,0,1,1,1,1,0,0.46655791190864593,0.5769230769230769,0.3377448385389094,0.43750000000000006,0.938953488372093,0.29585798816568043,0.7268623024830699,0.22000000000000003,0.26,0.0,0.22136222910216719,0.5577889447236181,0.4025641025641026,0.15625,0.43130703635366285,0.46913580246913583,0.125,0.0,0.1276595744680851,0.42083333333333334,0.3258064516129032,0.11538461538461539,0.28945960406634563,0.2605042016806723,,,,,0.0,0.0,-0.0006476683937823834,-0.125,2023,1.0,1.0,1.0,1.0,1.0
Eric Gray,Running Back,Oklahoma,Big 12,0.42857142857142855,0.43661971830985913,,0.7307692307692307,0.4090909090909091,,,0.6666666666666666,4,0,1,1,1,1,0,0.5742251223491027,0.0,0.32173107464266804,0.31250000000000006,0.6046511627906976,0.32544378698224846,0.6009029345372461,0.5000000000000001,0.44,0.2857142857142857,0.3560371517027864,0.5527638190954774,0.16666666666666666,0.0625,0.1651623198523912,0.3950617283950617,0.6041666666666666,0.4,0.4951644100580271,0.3958333333333333,0.5,0.15384615384615385,0.41412520064205455,0.24789915966386555,0.42857142857142855,0.3333333333333333,0.3049095607235142,0.25106382978723407,0.398406374501992,0.2222222222222222,0.3471502590673575,0.2875,2023,1.0,1.0,1.0,1.0,0.9
Evan Hull,Running Back,Northwestern,Big Ten,0.42857142857142855,0.4647887323943662,0.5515818618806908,0.6923076923076923,0.6363636363636364,0.6659069979562944,0.23006764255276285,0.3333333333333333,4,1,1,1,1,0,0,0.9690048939641108,0.3846153846153846,0.7832186341979882,0.5000000000000001,0.627906976744186,0.14792899408284022,0.3972911963882618,0.039999999999999945,0.64,0.2857142857142857,0.4102167182662539,0.45226130653266333,0.46923076923076923,0.21875,0.43310227896075404,0.37037037037037035,0.10416666666666667,0.0,0.08317214700193423,0.325,0.07419354838709677,0.07692307692307693,0.11289459604066346,0.3949579831932773,,,,,0.1752988047808765,0.2222222222222222,0.1800518134715026,0.4,2023,1.0,1.0,1.0,1.0,1.0
Chris Rodriguez Jr.,Running Back,Kentucky,SEC,0.7142857142857143,0.5774647887323944,,,,,,0.3333333333333333,4,1,1,1,1,0,0,0.07177814029363784,0.0,0.04804129168872419,0.39375,0.49127906976744184,0.17751479289940827,0.3927765237020316,0.26000000000000006,0.24,0.42857142857142855,0.09597523219814241,0.2864321608040201,0.5435897435897435,0.28125,0.5991622201166908,0.49382716049382713,0.0,0.0,0.027079303675048357,0.5416666666666666,0.3774193548387097,0.4230769230769231,0.42108079186730873,0.31932773109243695,0.0,0.0,0.012919896640826873,0.10638297872340426,0.2788844621513944,0.3333333333333333,0.3432642487046632,0.5625,2023,1.0,1.0,1.0,1.0,1.0
Deuce Vaughn,Running Back,Kansas State,Big 12,-0.2857142857142857,0.04225352112676056,,0.5769230769230769,0.3181818181818182,,,0.0,3,1,1,1,0,0,0,0.7357259380097878,0.5769230769230769,0.5386447856008469,0.44375000000000003,0.8372093023255814,0.2662721893491124,0.6884875846501128,0.27999999999999997,0.96,0.5714285714285714,0.7260061919504643,0.5326633165829145,0.5692307692307692,0.5625,0.6103824864110109,0.4814814814814815,0.5,0.4,0.8433268858800773,0.7666666666666666,0.3903225806451613,0.2692307692307692,0.34991974317817015,0.2647058823529412,,,,,,,,,2023,0.9,0.9,0.9,,0.9
Zach Evans,Running Back,Ole Miss,SEC,0.5714285714285714,0.36619718309859156,,,,,,0.3333333333333333,3,0,1,1,1,0,0,0.19738988580750405,0.1923076923076923,0.16159343568025408,0.5000000000000001,0.40406976744186046,0.2662721893491124,0.4076749435665914,0.52,0.18,0.14285714285714285,0.20278637770897834,0.7035175879396985,0.20256410256410257,0.15625,0.2710816336707725,0.6049382716049383,0.14583333333333334,0.0,0.15087040618955513,0.4375,0.16774193548387098,0.15384615384615385,0.2231139646869984,0.36554621848739494,,,,,,,,,2023,1.0,0.9,0.9,,1.0
DeWayne McBride,Running Back,UAB,Conference USA,0.42857142857142855,0.4647887323943662,,,,,,0.3333333333333333,3,0,1,1,1,0,0,0.01794453507340946,0.0,0.0029115934356802537,0.19375000000000003,0.6627906976744186,0.5621301775147929,0.7571106094808127,0.6799999999999999,0.04,0.0,0.030959752321981424,0.3668341708542714,0.4897435897435897,0.40625,0.5955717349025084,0.5679012345679012,,,,,0.14516129032258066,0.15384615384615385,0.23595505617977527,0.4327731092436975,,,,,,,,,2023,0.35,0.35,0.35,,0.35
Lew Nichols III,Running Back,Central Michigan,Mid-American,,,,,,,,0.3333333333333333,4,1,1,1,1,0,0,0.3588907014681892,0.0,0.17469560614081522,0.2625,0.5,0.17751479289940827,0.2564334085778781,-0.1,0.78,0.2857142857142857,0.5247678018575851,0.47738693467336685,0.841025641025641,0.5,0.809654415798135,0.40740740740740744,0.1875,0.2,0.21470019342359767,0.49583333333333335,0.24516129032258063,0.15384615384615385,0.27287319422150885,0.31512605042016806,,,,,0.07171314741035857,0.0,0.05569948186528497,0.21250000000000002,2023,0.35,0.35,0.35,0.35,0.35
Kenny McIntosh,Running Back,Georgia,SEC,0.7142857142857143,0.39436619718309857,0.07227210896319909,,,,,0.6666666666666666,4,0,1,1,1,1,0,0.7536704730831973,0.3846153846153846,0.722075172048703,0.6125,0.42151162790697677,0.29585798816568043,0.3593679458239278,0.32,0.42,0.2857142857142857,0.3761609907120743,0.6030150753768845,0.11538461538461539,0.09375,0.1274622251034758,0.4444444444444445,0.1875,0.0,0.218568665377176,0.5041666666666667,0.14516129032258066,0.038461538461538464,0.135366506153023,0.2647058823529412,0.0,0.0,0.015503875968992248,0.1276595744680851,0.09561752988047809,0.1111111111111111,0.11075129533678757,0.5,2023,1.0,1.0,1.0,1.0,1.0
