name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_college,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Joe Burrow,Quarterback,LSU,SEC,76.0,221.0,,,,,,23.0,4,0,1,1,1,1,0,LSU,4.0,1.0,0.0,LSU,527.0,402.0,6.0,0.763,60.0,5671.0,10.8,115.0,29.0,5.0,369.0,3.2,128.0,59.0,7.0,399.0,3.1,Ohio State,3.0,4.0,0.0,-5.0,-1.7,379.0,219.0,5.0,0.578,16.0,2893.0,7.6,11.0,7.0,0.0,0.636,0.0,61.0,5.5,Ohio State,12.0,12.0,1.0,58.0,4.8,28.0,22.0,0.0,0.786,2.0,226.0,8.1,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Tua Tagovailoa,Quarterback,Alabama,SEC,72.0,217.0,,,,,,22.0,3,0,1,1,1,0,0,Alabama,1.0,1.0,0.0,Alabama,252.0,180.0,3.0,0.714,33.0,2840.0,11.3,23.0,25.0,2.0,17.0,0.7,57.0,44.0,5.0,190.0,3.3,Alabama,27.0,23.0,2.0,133.0,4.9,355.0,245.0,6.0,0.69,43.0,3966.0,11.2,77.0,49.0,2.0,0.636,11.0,636.0,8.3,,,,,,,,,,,,,,3.0,2.0,0.0,1.0,0.0,0.0,,,
Justin Herbert,Quarterback,Oregon,Pac-12,78.0,236.0,4.68,35.5,123.0,7.06,4.46,22.0,4,1,1,1,1,0,0,Oregon,4.0,1.0,0.0,Oregon,428.0,286.0,6.0,0.668,32.0,3471.0,8.1,58.0,30.0,4.0,50.0,0.9,71.0,37.0,2.0,166.0,2.3,Oregon,44.0,40.0,5.0,183.0,4.2,404.0,240.0,8.0,0.594,29.0,3151.0,7.8,206.0,139.0,5.0,0.675,15.0,1983.0,9.6,Oregon,58.0,26.0,2.0,161.0,2.8,255.0,162.0,4.0,0.635,19.0,1936.0,7.6,2.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0
Jordan Love,Quarterback,Utah State,Mountain West,76.0,224.0,4.74,35.5,118.0,7.21,4.52,21.0,3,1,1,1,0,0,0,Utah State,6.0,2.0,0.0,Utah State,473.0,293.0,17.0,0.619,20.0,3402.0,7.2,81.0,22.0,0.0,175.0,2.2,43.0,21.0,7.0,63.0,1.5,Utah State,46.0,20.0,2.0,165.0,3.6,416.0,266.0,6.0,0.639,32.0,3552.0,8.5,235.0,129.0,6.0,0.549,8.0,1631.0,6.9,,,,,,,,,,,,,,3.0,1.0,0.0,3.0,3.0,0.0,,,
Jalen Hurts,Quarterback,Oklahoma,Big 12,73.0,222.0,4.59,35.0,125.0,,,22.0,4,1,1,1,1,0,0,Oklahoma,8.0,6.0,0.0,Alabama,341.0,237.0,8.0,0.695,32.0,3851.0,11.3,233.0,52.0,20.0,1298.0,5.6,36.0,27.0,2.0,167.0,4.6,Alabama,154.0,55.0,8.0,855.0,5.6,70.0,51.0,2.0,0.729,8.0,765.0,10.9,254.0,154.0,1.0,0.606,17.0,2081.0,8.2,Alabama,191.0,60.0,13.0,954.0,5.0,382.0,240.0,9.0,0.628,23.0,2780.0,7.3,2.0,1.0,0.0,4.0,2.0,0.0,11.0,5.0,0.0
Jacob Eason,Quarterback,Washington,Pac-12,78.0,231.0,4.89,27.5,110.0,7.5,4.75,22.0,4,1,1,1,1,0,0,Washington,3.0,2.0,0.0,,405.0,260.0,8.0,0.642,23.0,3132.0,7.7,46.0,19.0,1.0,-69.0,-1.5,,,,,,Georgia,3.0,0.0,0.0,-12.0,-4.0,,,,,,,,7.0,4.0,0.0,0.571,0.0,28.0,4.0,Georgia,33.0,15.0,1.0,-45.0,-1.4,370.0,204.0,8.0,0.551,16.0,2430.0,6.6,,,,1.0,1.0,0.0,3.0,3.0,0.0
James Morgan,Quarterback,Florida International,Conference USA,76.0,229.0,4.89,29.0,112.0,7.51,4.64,23.0,4,0,1,1,1,1,0,Florida International,7.0,3.0,0.0,Florida International,357.0,207.0,5.0,0.58,14.0,2560.0,7.2,31.0,15.0,2.0,-34.0,-1.1,29.0,11.0,1.0,-40.0,-1.4,Bowling Green,26.0,9.0,0.0,-37.0,-1.4,326.0,213.0,7.0,0.653,26.0,2727.0,8.4,212.0,96.0,7.0,0.453,9.0,1260.0,5.9,Bowling Green,45.0,12.0,0.0,-72.0,-1.6,326.0,183.0,15.0,0.561,16.0,2082.0,6.4,4.0,0.0,0.0,3.0,1.0,0.0,7.0,1.0,0.0
Jake Fromm,Quarterback,Georgia,SEC,74.0,219.0,5.01,30.0,111.0,7.27,4.51,22.0,3,0,1,1,1,0,0,Georgia,3.0,1.0,0.0,Georgia,385.0,234.0,5.0,0.608,24.0,2860.0,7.4,38.0,15.0,0.0,-12.0,-0.3,41.0,10.0,0.0,-27.0,-0.7,Georgia,55.0,21.0,3.0,79.0,1.4,305.0,206.0,6.0,0.675,30.0,2749.0,9.0,291.0,181.0,7.0,0.622,24.0,2615.0,9.0,,,,,,,,,,,,,,4.0,1.0,0.0,3.0,2.0,0.0,,,
Jake Luton,Quarterback,Oregon State,Pac-12,78.0,224.0,,,,,,24.0,3,0,0,0,1,1,1,Oregon State,,,,Oregon State,358.0,222.0,3.0,0.62,28.0,2714.0,7.6,44.0,19.0,1.0,-87.0,-2.0,28.0,4.0,0.0,-144.0,-5.1,Oregon State,17.0,18.0,0.0,27.0,1.6,223.0,140.0,4.0,0.628,10.0,1660.0,7.4,135.0,83.0,4.0,0.615,4.0,853.0,6.3,,,,,,,,,,,,,,2.0,1.0,0.0,2.0,2.0,0.0,,,
Cole McDonald,Quarterback,Hawai'i,Mountain West,75.0,215.0,4.58,36.0,121.0,7.13,4.52,22.0,3,0,1,1,1,0,0,Hawai'i,5.0,4.0,0.0,Hawai'i,511.0,326.0,14.0,0.638,33.0,4138.0,8.1,103.0,76.0,7.0,377.0,3.7,134.0,28.0,4.0,346.0,2.6,Hawai'i,16.0,58.0,1.0,138.0,8.6,484.0,285.0,10.0,0.589,36.0,3875.0,8.0,9.0,5.0,0.0,0.556,1.0,22.0,2.4,,,,,,,,,,,,,,6.0,2.0,0.0,1.0,0.0,0.0,,,
Ben DiNucci,Quarterback,James Madison,CAA,75.0,210.0,,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,55.0,31.0,1.0,126.0,2.3,,,,,,,,158.0,88.0,5.0,0.557,5.0,1091.0,6.9,Pittsburgh,2.0,16.0,0.0,18.0,9.0,9.0,3.0,2.0,0.333,1.0,16.0,1.8,,,,3.0,3.0,0.0,,,
Tommy Stevens,Quarterback,Mississippi State,SEC,77.0,235.0,,,,,,23.0,4,0,1,1,1,1,0,Mississippi State,4.0,3.0,0.0,Penn State,161.0,97.0,5.0,0.602,11.0,1155.0,7.2,83.0,46.0,4.0,381.0,4.6,28.0,20.0,2.0,118.0,4.2,Penn State,27.0,21.0,4.0,190.0,7.0,11.0,8.0,1.0,0.727,1.0,110.0,10.0,27.0,14.0,0.0,0.519,3.0,158.0,5.9,Penn State,21.0,45.0,2.0,198.0,9.4,3.0,2.0,0.0,0.667,0.0,36.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,,,
Nate Stanley,Quarterback,Iowa,Big Ten,76.0,235.0,4.81,28.5,108.0,7.26,4.48,23.0,4,0,1,1,1,1,0,Iowa,3.0,1.0,0.0,Iowa,399.0,237.0,7.0,0.594,16.0,2951.0,7.4,76.0,16.0,1.0,7.0,0.1,36.0,13.0,1.0,4.0,0.1,Iowa,49.0,8.0,0.0,-115.0,-2.3,396.0,234.0,10.0,0.591,26.0,2825.0,7.1,351.0,196.0,6.0,0.558,26.0,2437.0,6.9,Iowa,,,,,,9.0,5.0,0.0,0.556,0.0,62.0,6.9,2.0,1.0,0.0,7.0,5.0,0.0,,,
