name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Will Anderson Jr.,Outside Linebacker,Alabama,SEC,76.0,253.0,4.6,,,,,,22.0,3,0,1,1,1,0,0,Alabama,1.0,12.0,10.0,24.0,1.0,17.0,51.0,,,,Alabama,,,,,Alabama,,25.0,1.0,1.0,25.0,,,,,,,,,,,,3.0,9.0,17.5,57.0,0.0,32.0,101.0,0.0,8.0,5.0,32.0,0.0,8.5,50.0,,,,,,,,,,,,,
Will McDonald IV,Outside Linebacker,Iowa State,Big 12,76.0,239.0,,,36.0,132.0,,,24.0,4,0,0,1,1,1,1,Iowa State,4.0,7.0,5.0,23.0,0.0,7.5,36.0,0.0,0.0,2.0,Iowa State,,,,,Iowa State,Iowa State,,,,,,,,,,,,,,,,2.0,7.0,11.5,24.0,0.0,13.0,36.0,1.0,3.0,10.0,18.0,0.0,13.0,33.0,,,,,,,0.0,2.0,6.0,10.0,0.0,6.0,15.0
Nolan Smith,Outside Linebacker,Georgia,SEC,74.0,238.0,4.39,,41.5,128.0,,,22.0,4,1,1,1,1,0,0,Georgia,1.0,1.0,3.0,14.0,0.0,7.0,18.0,,,,Georgia,-2.0,1.0,0.0,-2.0,Georgia,Georgia,,,,,,,,,,,,,0.0,0.0,2.0,1.0,4.0,3.5,31.0,0.0,10.0,55.0,0.0,1.0,2.5,11.0,0.0,2.5,22.0,,,,,,,1.0,1.0,2.5,10.0,0.0,2.5,18.0
Derick Hall,Outside Linebacker,Auburn,SEC,75.0,254.0,4.55,,33.5,127.0,,,22.0,4,1,1,1,1,0,0,Auburn,0.0,7.0,6.5,41.0,0.0,11.5,60.0,0.0,0.0,4.0,Auburn,,,,,Auburn,Auburn,19.0,1.0,0.0,19.0,,,,,,,,,,,,0.0,1.0,9.0,33.0,0.0,12.5,52.0,0.0,2.0,4.0,16.0,0.0,4.0,21.0,,,,,,,0.0,2.0,0.0,9.0,0.0,1.5,13.0
BJ Ojulari,Outside Linebacker,LSU,SEC,74.0,248.0,,,32.5,126.0,,,21.0,3,1,1,1,0,0,0,LSU,0.0,10.0,6.0,35.0,0.0,10.0,55.0,0.0,0.0,2.0,LSU,,,,,LSU,,,,,,,,,,,,,,,,,1.0,9.0,7.0,31.0,0.0,12.0,54.0,1.0,3.0,4.0,12.0,0.0,5.0,16.0,0.0,0.0,2.0,,,,,,,,,,
Tuli Tuipulotu,Outside Linebacker,USC,Pac-12,75.0,266.0,,,,,,,21.0,3,1,1,1,0,0,0,USC,3.0,2.0,13.5,27.0,0.0,21.0,41.0,,,,USC,,,,,USC,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,0.0,5.5,24.0,1.0,7.5,48.0,0.0,0.0,1.0,10.0,0.0,1.5,19.0,,,,,,,,,,,,,
DJ Johnson,Outside Linebacker,Oregon,Pac-12,76.0,260.0,4.49,28.0,32.0,110.0,,,24.0,4,0,0,1,1,1,1,Oregon,2.0,1.0,6.0,15.0,0.0,8.5,39.0,0.0,0.0,2.0,Oregon,,,,,,Oregon,,,,,,,,,,,,,,,,0.0,2.0,1.0,8.0,0.0,2.0,11.0,,,,,,,,,,,,,,0.0,1.0,2.0,10.0,0.0,5.0,14.0
Tavius Robinson,Outside Linebacker,Ole Miss,SEC,78.0,257.0,4.66,23.0,33.5,120.0,,4.62,24.0,3,0,0,0,1,1,1,Ole Miss,1.0,6.0,5.0,12.0,0.0,6.0,38.0,0.0,0.0,4.0,Ole Miss,,,,,Ole Miss,,,,,,,,,,,,,,,,,0.0,3.0,3.5,10.0,0.0,4.5,28.0,0.0,3.0,1.0,9.0,0.0,1.5,18.0,,,,,,,,,,,,,
Nick Herbig,Outside Linebacker,Wisconsin,Big Ten,74.0,240.0,4.65,25.0,,,,,21.0,3,1,1,1,0,0,0,Wisconsin,2.0,2.0,11.0,32.0,0.0,15.5,47.0,,,,Wisconsin,,,,,Wisconsin,,,,,,,,,,,,,,0.0,0.0,1.0,4.0,1.0,9.0,40.0,0.0,14.5,61.0,1.0,2.0,1.0,23.0,0.0,6.0,26.0,0.0,0.0,1.0,,,,,,,,,,
Yasir Abdullah,Outside Linebacker,Louisville,ACC,73.0,237.0,4.47,,36.5,129.0,,,23.0,4,0,1,1,1,1,0,Louisville,4.0,7.0,9.5,32.0,0.0,14.5,59.0,0.0,0.0,1.0,Louisville,,,,,Louisville,Louisville,10.0,2.0,0.0,20.0,,,,,7.0,1.0,0.0,7.0,,,,3.0,2.0,10.0,43.0,0.0,17.5,61.0,0.0,1.0,3.0,18.0,0.0,7.0,33.0,,,,0.0,0.0,2.0,0.0,0.0,1.0,26.0,0.0,4.0,45.0
Nick Hampton,Outside Linebacker,App State,Sun Belt,74.0,236.0,4.58,,35.5,120.0,,,23.0,4,0,1,1,1,1,0,App State,1.0,3.0,8.0,20.0,0.0,10.5,39.0,0.0,0.0,2.0,App State,,,,,App State,App State,,,,,,,,,,,,,,,,2.0,4.0,11.0,38.0,0.0,17.5,68.0,1.0,7.0,3.0,21.0,0.0,6.5,42.0,0.0,0.0,1.0,,,,0.0,8.0,5.5,11.0,0.0,6.5,24.0
BJ Thompson,Outside Linebacker,Stephen F. Austin,Western Athletic,,,,,,,,,24.0,3,0,0,0,1,1,1,Stephen F. Austin,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Stephen F. Austin,,,,,Stephen F. Austin,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,9.0,0.0,2.0,13.0,,,,,,,,,,,,,
Zaire Barnes,Outside Linebacker,Western Michigan,Mid-American,,,,,,,,,24.0,4,0,0,1,1,1,1,Western Michigan,8.0,1.0,1.5,60.0,0.0,5.0,94.0,0.0,0.0,4.0,Western Michigan,,,,,,Western Michigan,12.0,1.0,0.0,12.0,,,,,,,,,0.0,0.0,5.0,0.0,1.0,2.5,45.0,0.0,7.0,68.0,,,,,,,,,,,,,,1.0,2.0,0.0,16.0,0.0,3.5,29.0
Jose Ramirez,Outside Linebacker,Eastern Michigan,Mid-American,74.0,242.0,4.73,21.0,34.5,118.0,6.95,4.3,24.0,3,0,0,0,1,1,1,Eastern Michigan,2.0,10.0,12.0,36.0,0.0,19.5,62.0,0.0,0.0,1.0,Eastern Michigan,,,,,Eastern Michigan,,,,,,,,,,,,,,,,,4.0,10.0,6.5,30.0,0.0,11.0,62.0,1.0,2.0,1.0,9.0,0.0,1.5,26.0,,,,,,,,,,,,,
Amari Burney,Outside Linebacker,Florida,SEC,74.0,230.0,,,,,,,23.0,4,0,1,1,1,1,0,Florida,4.0,3.0,4.0,38.0,0.0,9.0,71.0,0.0,0.0,1.0,Florida,,,,,Florida,Florida,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,,,,3.0,0.0,0.0,25.0,0.0,2.0,44.0,2.0,3.0,2.0,30.0,0.0,2.5,52.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.5,37.0
Andre Jones,Outside Linebacker,Louisiana,Sun Belt,77.0,248.0,,,,,,,24.0,4,0,0,1,1,1,1,Louisiana,1.0,2.0,6.5,21.0,0.0,7.5,48.0,,,,Louisiana,,,,,Louisiana,Louisiana,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,3.0,4.0,5.0,6.0,35.0,0.0,9.5,60.0,1.0,3.0,2.0,22.0,0.0,3.5,43.0,,,,,,,1.0,3.0,2.0,23.0,0.0,7.0,42.0
Jalen Graham,Outside Linebacker,Purdue,Big Ten,74.0,220.0,4.64,,30.5,112.0,,,22.0,4,1,1,1,1,0,0,Purdue,5.0,1.0,1.0,34.0,0.0,5.0,48.0,,,,Purdue,22.5,2.0,1.0,45.0,Purdue,Purdue,29.0,1.0,0.0,29.0,,,,,,,,,,,,7.0,2.0,1.0,45.0,1.0,4.0,64.0,0.0,0.0,0.0,9.0,1.0,1.0,13.0,0.0,0.0,2.0,,,,1.0,0.0,0.0,24.0,0.0,2.5,37.0
