name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Marvin Harrison Jr.,Wide Receiver,Ohio State,Big Ten,75.0,209.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,,,,,,75.0,67.0,14.0,1211.0,18.1,2.0,19.0,1.0,26.0,13.0,58.0,77.0,14.0,1263.0,16.4,2.0,18.0,0.0,32.0,16.0,,,,,,25.0,11.0,3.0,139.0,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Malik Nabers,Wide Receiver,LSU,SEC,72.0,199.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,0.0,0.0,2.0,0.0,0.0,51.0,89.0,14.0,1569.0,17.6,1.0,1.0,0.0,1.0,1.0,75.0,72.0,3.0,1017.0,14.1,1.0,5.0,0.0,5.0,5.0,,,,,,67.0,28.0,4.0,417.0,14.9,4.0,13.0,0.0,23.0,5.8,,,,,,,,,,,,,,,,,,,,,15.5,17.0,2.0,0.0,31.0,,,,,,,,,,,,,,,,3.0,2.0,0.0,,,,,,
Rome Odunze,Wide Receiver,Washington,Pac-12,75.0,212.0,4.45,,39.0,124.0,6.88,4.03,22.0,4,1,1,1,1,0,0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,92.0,13.0,1640.0,17.8,2.0,23.0,1.0,37.0,18.5,61.0,75.0,7.0,1145.0,15.3,3.0,5.0,1.0,6.0,2.0,,,,,,55.0,41.0,4.0,415.0,10.1,2.0,7.0,0.0,13.0,6.5,8.5,18.0,2.0,0.0,17.0,25.0,6.0,0.0,72.0,12.0,3.0,0.0,0.0,-16.0,-5.3,43.5,83.0,2.0,1.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,Wide Receiver,LSU,SEC,75.0,209.0,,,,,,,21.0,3,1,1,1,0,0,0,2.0,0.0,0.0,,,,,,86.0,68.0,17.0,1177.0,17.3,1.0,0.0,0.0,-6.0,-6.0,57.0,32.0,5.0,372.0,11.6,,,,,,,,,,,42.0,28.0,2.0,359.0,12.8,2.0,5.0,0.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy,Wide Receiver,Texas,Big 12,71.0,165.0,4.21,,41.0,131.0,,,21.0,3,1,1,1,0,0,0,3.0,2.0,1.0,9.7,29.0,15.0,0.0,146.0,54.0,75.0,5.0,1014.0,13.5,4.0,16.0,0.0,35.0,8.8,46.0,60.0,9.0,760.0,12.7,2.0,7.0,0.0,14.0,7.0,16.5,18.0,2.0,0.0,33.0,75.0,62.0,12.0,981.0,15.8,1.0,7.0,0.0,7.0,7.0,,,,,,,,,,,,,,,,16.1,74.0,23.0,1.0,371.0,,,,,,15.7,20.0,3.0,0.0,47.0,,,,,,,,,,,1.0,1.0,0.0,2.0,1.0,0.0,,,
Ricky Pearsall,Wide Receiver,Florida,SEC,73.0,189.0,4.41,17.0,42.0,129.0,6.64,4.05,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,6.8,13.0,4.0,0.0,27.0,61.0,64.0,4.0,970.0,15.2,3.0,39.0,2.0,62.0,20.7,52.0,33.0,5.0,661.0,20.0,8.0,76.0,1.0,113.0,14.1,,,,,,65.0,48.0,4.0,580.0,12.1,6.0,26.0,1.0,44.0,7.3,,,,,,31.0,6.0,1.0,86.0,14.3,3.0,29.0,1.0,33.0,11.0,11.5,40.0,11.0,0.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Legette,Wide Receiver,South Carolina,SEC,73.0,221.0,4.39,,40.0,126.0,,,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,76.0,71.0,7.0,1255.0,17.7,9.0,7.0,0.0,-9.0,-1.0,42.0,18.0,3.0,167.0,9.3,7.0,19.0,0.0,21.0,3.0,,,,,,20.0,8.0,1.0,63.0,7.9,,,,,,21.3,40.0,10.0,0.0,213.0,42.0,7.0,0.0,113.0,16.1,,,,,,,,,,,29.4,100.0,15.0,1.0,441.0,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,Wide Receiver,Florida State,ACC,75.0,213.0,4.61,,38.0,127.0,,,21.0,3,1,1,1,0,0,0,3.0,0.0,0.0,,,,,,58.0,50.0,11.0,658.0,13.2,1.0,2.0,0.0,2.0,2.0,51.0,58.0,7.0,798.0,13.8,,,,,,,,,,,12.0,7.0,1.0,50.0,7.1,,,,,,,,,,,,,,,,,,,,,12.0,72.0,25.0,0.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,Wide Receiver,Georgia,SEC,72.0,186.0,4.39,13.0,36.0,124.0,,,22.0,3,0,1,1,1,0,0,,,,12.0,39.0,16.0,0.0,192.0,54.0,30.0,2.0,478.0,15.9,2.0,27.0,1.0,38.0,19.0,37.0,58.0,7.0,762.0,13.1,7.0,70.0,2.0,134.0,19.1,,,,,,60.0,31.0,5.0,447.0,14.4,4.0,24.0,1.0,44.0,11.0,15.0,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,16.4,34.0,5.0,0.0,82.0,,,,,,,,,,,3.0,2.0,0.0,,,,,,
Ja'Lynn Polk,Wide Receiver,Washington,Pac-12,73.0,203.0,4.52,,37.5,129.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,,,,,,92.0,69.0,9.0,1159.0,16.8,4.0,27.0,1.0,32.0,8.0,76.0,41.0,6.0,694.0,16.9,1.0,15.0,0.0,15.0,15.0,,,,,,55.0,5.0,1.0,114.0,22.8,,,,,,,,,,,60.0,28.0,2.0,264.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0
Adonai Mitchell,Wide Receiver,Texas,Big 12,74.0,205.0,4.34,,39.5,136.0,,,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,,,,,,62.0,55.0,11.0,845.0,15.4,2.0,5.0,0.0,1.0,0.5,27.0,9.0,3.0,134.0,14.9,,,,,,,,,,,40.0,29.0,4.0,426.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,
Malachi Corley,Wide Receiver,Western Kentucky,Conference USA,71.0,207.0,,,,,,,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,,,,,,75.0,79.0,11.0,984.0,12.5,4.0,6.0,0.0,11.0,2.8,76.0,101.0,11.0,1293.0,12.8,11.0,29.0,0.0,87.0,7.9,,,,,,45.0,73.0,7.0,691.0,9.5,1.0,0.0,0.0,-6.0,-6.0,,,,,,17.0,6.0,0.0,65.0,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
Jermaine Burton,Wide Receiver,Alabama,SEC,72.0,196.0,4.45,,38.5,133.0,,,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,68.0,39.0,8.0,798.0,20.5,,,,,,52.0,40.0,7.0,677.0,16.9,,,,,,,,,,,73.0,26.0,5.0,497.0,19.1,,,,,,,,,,,49.0,27.0,3.0,404.0,15.0,4.0,43.0,0.0,50.0,12.5,,,,,,,,,,,,,,,,,,,,,14.0,14.0,1.0,0.0,14.0,,,,,,,1.0,0.0,0.0
Roman Wilson,Wide Receiver,Michigan,Big Ten,71.0,185.0,4.39,12.0,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,47.0,48.0,12.0,789.0,16.4,1.0,10.0,0.0,10.0,10.0,61.0,25.0,4.0,376.0,15.0,2.0,21.0,2.0,39.0,19.5,20.0,20.0,1.0,0.0,20.0,75.0,25.0,3.0,420.0,16.8,3.0,43.0,0.0,59.0,19.7,,,,,,26.0,9.0,1.0,122.0,13.6,1.0,9.0,0.0,9.0,9.0,,,,,,22.8,26.0,5.0,0.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,
Jalen McMillan,Wide Receiver,Washington,Pac-12,73.0,197.0,4.47,,37.0,127.0,6.94,4.18,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,17.5,31.0,4.0,0.0,70.0,45.0,45.0,5.0,559.0,12.4,3.0,19.0,1.0,30.0,10.0,84.0,79.0,9.0,1098.0,13.9,2.0,2.0,0.0,2.0,1.0,,,,,,39.0,39.0,3.0,470.0,12.1,,,,,,,,,,,16.0,1.0,0.0,16.0,16.0,2.0,7.0,0.0,14.0,7.0,2.6,6.0,5.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke McCaffrey,Wide Receiver,Rice,American Athletic,74.0,198.0,4.46,,36.0,121.0,6.7,4.02,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,32.0,32.0,1.0,0.0,32.0,51.0,71.0,13.0,992.0,14.0,15.0,40.0,0.0,117.0,7.8,66.0,58.0,6.0,722.0,12.4,12.0,37.0,1.0,148.0,12.3,,,,,,,,,,,41.0,21.0,2.0,132.0,3.2,,,,,,5.0,1.0,0.0,5.0,5.0,62.0,47.0,3.0,357.0,5.8,3.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,3.0,3.0,0.0,4.0,2.0,0.0
Troy Franklin,Wide Receiver,Oregon,Pac-12,74.0,176.0,4.41,,39.0,124.0,6.9,4.31,21.0,3,1,1,1,0,0,0,,,,,,,,,84.0,81.0,14.0,1383.0,17.1,,,,,,67.0,61.0,9.0,891.0,14.6,,,,,,,,,,,30.0,18.0,2.0,209.0,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Baker,Wide Receiver,UCF,Big 12,73.0,202.0,4.54,,37.0,121.0,,,22.0,4,1,1,1,1,0,0,,,,,,,,,86.0,52.0,7.0,1139.0,21.9,,,,,,53.0,56.0,5.0,796.0,14.2,,,,,,,,,,,35.0,7.0,1.0,101.0,14.4,,,,,,,,,,,15.0,2.0,0.0,15.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devontez Walker,Wide Receiver,North Carolina,ACC,74.0,193.0,4.36,,40.5,134.0,,,23.0,3,0,0,1,1,1,0,2.0,1.0,0.0,,,,,,56.0,41.0,7.0,699.0,17.0,3.0,20.0,0.0,23.0,7.7,56.0,58.0,11.0,921.0,15.9,3.0,18.0,1.0,29.0,9.7,,,,,,73.0,5.0,1.0,124.0,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Cowing,Wide Receiver,Arizona,Pac-12,68.0,168.0,4.38,,36.0,119.0,7.02,4.32,23.0,4,0,1,1,1,1,0,2.0,1.0,0.0,8.0,33.0,7.0,0.0,56.0,57.0,89.0,13.0,839.0,9.4,5.0,9.0,0.0,26.0,5.2,39.0,84.0,7.0,1026.0,12.2,3.0,4.0,0.0,1.0,0.3,,,,,,76.0,69.0,7.0,1354.0,19.6,4.0,53.0,1.0,75.0,18.8,5.5,6.0,2.0,0.0,11.0,82.0,41.0,3.0,691.0,16.9,,,,,,5.9,20.0,11.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,,,,,,
Anthony Gould,Wide Receiver,Oregon State,Pac-12,68.0,174.0,4.39,,39.5,129.0,,4.16,23.0,4,0,0,1,1,1,0,2.0,1.0,0.0,18.6,80.0,14.0,2.0,260.0,75.0,44.0,2.0,718.0,16.3,4.0,11.0,0.0,22.0,5.5,74.0,27.0,3.0,457.0,16.9,2.0,15.0,0.0,11.0,5.5,,,,,,33.0,13.0,1.0,185.0,14.2,5.0,19.0,1.0,50.0,10.0,,,,,,,,,,,,,,,,17.5,28.0,6.0,0.0,105.0,,,,,,10.3,26.0,4.0,0.0,41.0,,,,,,-5.0,0.0,1.0,0.0,-5.0,,,,,,,,,
Ainias Smith,Wide Receiver,Texas A&M,SEC,70.0,200.0,,21.0,,,,,23.0,4,0,1,1,1,1,0,5.0,0.0,0.0,3.4,9.0,8.0,0.0,27.0,42.0,53.0,2.0,795.0,15.0,5.0,11.0,0.0,21.0,4.2,63.0,15.0,2.0,291.0,19.4,3.0,9.0,0.0,11.0,3.7,,,,,,27.0,47.0,6.0,509.0,10.8,8.0,8.0,0.0,26.0,3.3,12.9,23.0,8.0,0.0,103.0,54.0,42.0,6.0,490.0,11.7,49.0,38.0,4.0,293.0,6.0,13.0,82.0,22.0,1.0,285.0,,,,,,11.3,95.0,23.0,1.0,259.0,,,,,,5.0,22.0,15.0,0.0,75.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0
Jamari Thrash,Wide Receiver,Louisville,ACC,72.0,188.0,4.46,,34.0,120.0,7.16,,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,85.0,63.0,6.0,858.0,13.6,1.0,12.0,1.0,12.0,12.0,75.0,60.0,7.0,1110.0,18.5,3.0,12.0,0.0,17.0,5.7,,,,,,38.0,32.0,3.0,452.0,14.1,1.0,5.0,0.0,5.0,5.0,,,,,,57.0,9.0,2.0,161.0,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Bub Means,Wide Receiver,Pittsburgh,ACC,73.0,212.0,4.43,19.0,39.5,122.0,,,23.0,3,0,0,1,1,1,0,1.0,1.0,0.0,,,,,,75.0,41.0,6.0,721.0,17.6,,,,,,45.0,27.0,2.0,401.0,14.9,3.0,6.0,0.0,10.0,3.3,20.3,27.0,12.0,0.0,244.0,72.0,22.0,2.0,430.0,19.5,1.0,0.0,0.0,-8.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,
Jha'Quan Jackson,Wide Receiver,Tulane,American Athletic,69.0,188.0,4.42,12.0,32.0,118.0,,,24.0,4,0,0,1,1,1,1,1.0,0.0,0.0,10.1,90.0,21.0,1.0,213.0,48.0,26.0,4.0,439.0,16.9,5.0,24.0,0.0,51.0,10.2,87.0,33.0,3.0,554.0,16.8,1.0,8.0,0.0,8.0,8.0,20.4,42.0,27.0,0.0,551.0,50.0,17.0,1.0,294.0,17.3,4.0,12.0,0.0,26.0,6.5,,,,,,42.0,31.0,8.0,425.0,13.7,2.0,17.0,1.0,31.0,15.5,9.0,36.0,10.0,0.0,90.0,22.2,40.0,5.0,0.0,111.0,8.8,26.0,15.0,0.0,132.0,22.0,43.0,5.0,0.0,110.0,13.9,54.0,16.0,0.0,222.0,4.0,1.0,0.0,3.0,3.0,0.0,,,
Malik Washington,Wide Receiver,Virginia,ACC,69.0,191.0,4.47,19.0,42.5,126.0,,,23.0,4,0,1,1,1,1,0,,,,,,,,,64.0,110.0,9.0,1426.0,13.0,3.0,8.0,0.0,7.0,2.3,49.0,65.0,1.0,694.0,10.7,9.0,10.0,0.0,16.0,1.8,,,,,,64.0,44.0,2.0,578.0,13.1,5.0,6.0,0.0,-2.0,-0.4,19.8,40.0,13.0,0.0,257.0,23.0,5.0,0.0,51.0,10.2,1.0,8.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,0.0,,,
Johnny Wilson,Wide Receiver,Florida State,ACC,78.0,231.0,4.52,,37.0,128.0,,4.11,23.0,4,0,1,1,1,1,0,,,,,,,,,44.0,41.0,2.0,617.0,15.0,,,,,,78.0,43.0,5.0,897.0,20.9,,,,,,,,,,,28.0,12.0,1.0,154.0,12.8,,,,,,,,,,,37.0,6.0,0.0,89.0,14.8,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
Casey Washington,Wide Receiver,Illinois,Big Ten,74.0,200.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,80.0,49.0,4.0,670.0,13.7,,,,,,25.0,31.0,0.0,295.0,9.5,,,,,,,,,,,56.0,21.0,0.0,294.0,14.0,0.0,30.0,1.0,30.0,0.0,,,,,,20.0,10.0,0.0,106.0,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tejhaun Palmer,Wide Receiver,UAB,American Athletic,74.0,210.0,,,,,,,24.0,3,0,0,0,1,1,1,2.0,1.0,0.0,,,,,,80.0,47.0,7.0,858.0,18.3,,,,,,75.0,30.0,2.0,479.0,16.0,,,,,,,,,,,18.0,6.0,0.0,72.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,Wide Receiver,Texas,Big 12,73.0,205.0,,18.0,,,,,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,41.0,42.0,1.0,505.0,12.0,3.0,20.0,0.0,18.0,6.0,32.0,50.0,1.0,652.0,13.0,,,,,,,,,,,41.0,26.0,3.0,377.0,14.5,1.0,8.0,0.0,8.0,8.0,9.0,14.0,2.0,0.0,18.0,43.0,21.0,0.0,206.0,9.8,3.0,20.0,1.0,50.0,16.7,3.0,3.0,1.0,0.0,3.0,18.0,18.0,1.0,0.0,18.0,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Ryan Flournoy,Wide Receiver,Southeast Missouri State,Big South-OVC,73.0,202.0,4.44,19.0,39.5,132.0,,,24.0,2,0,0,0,0,1,1,,,,,,,,,89.0,57.0,6.0,839.0,14.7,6.0,39.0,1.0,49.0,8.2,62.0,61.0,7.0,984.0,16.1,3.0,31.0,1.0,39.0,13.0,,,,,,,,,,,,,,,,26.0,26.0,1.0,0.0,26.0,,,,,,,,,,,,,,,,21.8,52.0,4.0,0.0,87.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Brenden Rice,Wide Receiver,USC,Pac-12,74.0,208.0,4.5,13.0,36.5,119.0,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,,,,,,75.0,45.0,12.0,791.0,17.6,,,,,,74.0,39.0,4.0,611.0,15.7,,,,,,27.6,67.0,17.0,0.0,469.0,62.0,21.0,3.0,299.0,14.2,6.0,17.0,0.0,54.0,9.0,,,,,,61.0,6.0,2.0,120.0,20.0,,,,,,,,,,,16.3,18.0,3.0,0.0,49.0,,,,,,18.5,22.0,2.0,0.0,37.0,81.0,81.0,1.0,1.0,81.0,,,,1.0,0.0,0.0,,,
Devaughn Vele,Wide Receiver,Utah,Pac-12,76.0,203.0,4.47,,36.0,126.0,,,26.0,4,0,0,0,0,1,1,,,,9.5,23.0,26.0,0.0,246.0,68.0,43.0,3.0,593.0,13.8,,,,,,47.0,55.0,5.0,695.0,12.6,2.0,5.0,0.0,-4.0,-2.0,,,,,,45.0,23.0,1.0,389.0,16.9,,,,,,21.0,21.0,1.0,0.0,21.0,9.0,2.0,0.0,12.0,6.0,,,,,,,,,,,,,,,,27.0,27.0,1.0,0.0,27.0,,,,,,,,,,,2.0,0.0,0.0,,,,,,
Tahj Washington,Wide Receiver,USC,Pac-12,70.0,174.0,,,35.0,122.0,,,23.0,4,0,1,1,1,1,0,,,,,,,,,76.0,59.0,8.0,1062.0,18.0,1.0,10.0,0.0,10.0,10.0,61.0,50.0,6.0,785.0,15.7,,,,,,17.3,24.0,7.0,0.0,121.0,29.0,54.0,1.0,602.0,11.1,,,,,,,,,,,92.0,43.0,6.0,743.0,17.3,4.0,8.0,1.0,11.0,2.8,,,,,,25.0,42.0,3.0,0.0,75.0,,,,,,20.2,32.0,12.0,0.0,242.0,,,,,,,,,,,,3.0,1.0,0.0
Cornelius Johnson,Wide Receiver,Michigan,Big Ten,75.0,212.0,4.44,,37.5,127.0,,,23.0,4,0,1,1,1,1,0,,,,,,,,,50.0,47.0,1.0,604.0,12.9,3.0,26.0,0.0,40.0,13.3,75.0,32.0,6.0,499.0,15.6,,,,,,,,,,,87.0,40.0,3.0,627.0,15.7,3.0,17.0,0.0,30.0,10.0,,,,,,46.0,16.0,3.0,254.0,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
