name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Javon Kinlaw,Defensive Tackle,South Carolina,SEC,77.0,324.0,,,,,,,22.0,3,0,1,1,1,0,0,2.0,4.0,6.0,15.0,0.0,6.0,35.0,0.0,0.0,1.0,2020,,,,5.0,3.0,3.5,19.0,0.0,8.5,33.0,3.0,0.0,0.0,12.0,0.0,2.0,20.0,,,,,,,,,,,,,
Ross Blacklock,Defensive Tackle,TCU,Big 12,75.0,290.0,4.9,,29.0,107.0,7.77,4.67,22.0,3,0,1,1,1,0,0,0.0,3.0,3.5,25.0,0.0,9.0,40.0,,,,2020,,,,,,,,,,,0.0,0.0,2.0,13.0,0.0,6.5,25.0,,,,,,,,,,,,,
Marlon Davidson,Defensive Tackle,Auburn,SEC,75.0,303.0,5.04,21.0,,,,,22.0,4,1,1,1,1,0,0,1.0,5.0,7.5,30.0,0.0,12.5,49.0,0.0,0.0,1.0,2020,,,,3.0,11.0,3.5,20.0,0.0,4.0,46.0,1.0,4.0,3.0,18.0,0.0,6.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,2.5,23.0,0.0,6.0,38.0
Raekwon Davis,Defensive Tackle,Alabama,SEC,78.0,311.0,5.12,24.0,28.0,111.0,7.95,4.86,23.0,4,0,1,1,1,1,0,0.0,5.0,0.5,18.0,0.0,3.0,47.0,,,,2020,,,,0.0,6.0,1.5,24.0,0.0,5.5,55.0,0.0,2.0,8.5,24.0,0.0,10.0,69.0,0.0,0.0,1.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,4.0
Justin Madubuike,Defensive Tackle,Texas A&M,SEC,75.0,293.0,4.83,31.0,,,7.37,,22.0,3,0,1,1,1,0,0,2.0,7.0,5.5,18.0,0.0,11.5,45.0,,,,2020,,,,2.0,5.0,5.5,18.0,0.0,10.5,40.0,0.0,0.0,0.0,7.0,0.0,2.5,20.0,,,,,,,,,,,,,
Davon Hamilton,Defensive Tackle,Ohio State,Big Ten,76.0,320.0,,,,,,,23.0,4,0,1,1,1,1,0,0.0,1.0,6.0,18.0,0.0,10.5,28.0,0.0,0.0,1.0,2020,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,3.5,16.0,0.0,0.0,0.5,10.0,0.0,4.5,12.0,,,,0.0,0.0,1.0,0.0,0.0,0.5,5.0,0.0,2.5,10.0
Neville Gallimore,Defensive Tackle,Oklahoma,Big 12,74.0,304.0,4.79,23.0,,,7.97,5.01,23.0,4,0,1,1,1,1,0,1.0,7.0,4.0,18.0,0.0,7.5,30.0,,,,2020,,,,0.0,4.0,3.0,16.0,0.0,5.0,50.0,1.0,4.0,1.0,11.0,0.0,1.5,23.0,,,,,,,0.0,3.0,1.0,21.0,0.0,4.0,40.0
Jordan Elliott,Defensive Tackle,Missouri,SEC,76.0,302.0,5.02,24.0,27.5,,,4.73,22.0,4,1,1,1,1,0,0,3.0,6.0,2.5,31.0,0.0,8.5,44.0,,,,2020,,,,1.0,2.0,3.0,17.0,0.0,8.0,24.0,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,1.5,8.0
McTelvin Agim,Defensive Tackle,Arkansas,SEC,75.0,309.0,4.98,27.0,,,,,22.0,4,1,1,1,1,0,0,0.0,3.0,5.0,20.0,0.0,8.5,39.0,0.0,0.0,1.0,2020,0.0,0.0,1.0,1.0,11.0,4.5,19.0,0.0,10.0,45.0,3.0,3.0,2.5,15.0,0.0,7.5,37.0,,,,,,,0.0,2.0,2.5,8.0,0.0,5.5,27.0
Leki Fotu,Defensive Tackle,Utah,Pac-12,77.0,330.0,5.15,21.0,,,,,22.0,4,0,1,1,1,0,0,2.0,2.0,1.5,9.0,0.0,8.0,28.0,,,,2020,,,,0.0,2.0,3.0,18.0,0.0,5.5,33.0,1.0,0.0,0.0,14.0,0.0,3.5,22.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
James Lynch,Defensive Tackle,Baylor,Big 12,76.0,289.0,5.01,23.0,29.0,111.0,7.39,4.39,21.0,3,1,1,1,0,0,0,5.0,13.0,13.5,23.0,0.0,19.5,41.0,0.0,0.0,1.0,2020,,,,2.0,6.0,5.5,21.0,0.0,9.0,36.0,0.0,0.0,3.0,15.0,0.0,5.0,20.0,0.0,0.0,1.0,,,,,,,,,,
Rashard Lawrence,Defensive Tackle,LSU,SEC,74.0,308.0,,,,,,,22.0,4,1,1,1,1,0,0,3.0,1.0,2.5,11.0,0.0,6.0,28.0,,,,2020,,,,3.0,2.0,4.0,23.0,0.0,10.5,54.0,1.0,3.0,1.5,11.0,0.0,3.5,32.0,,,,,,,0.0,0.0,1.0,2.0,0.0,1.0,6.0
Broderick Washington Jr,Defensive Tackle,Texas Tech,Big 12,74.0,305.0,,,,,,,23.0,4,0,1,1,1,1,0,2.0,7.0,2.5,24.0,0.0,5.5,39.0,0.0,0.0,1.0,2020,,,,0.0,4.0,3.0,19.0,0.0,7.0,41.0,0.0,3.0,2.0,29.0,0.0,2.0,44.0,,,,,,,0.0,2.0,1.0,10.0,0.0,1.0,14.0
Larrell Murchison,Defensive Tackle,NC State,ACC,75.0,297.0,5.05,29.0,29.0,118.0,7.89,4.51,23.0,2,0,0,0,1,1,0,2.0,5.0,7.0,24.0,0.0,12.0,48.0,0.0,0.0,2.0,2020,0.0,0.0,1.0,2.0,0.0,4.0,16.0,0.0,8.0,34.0,,,,,,,,,,,,,,,,,,,,
Bravvion Roy,Defensive Tackle,Baylor,Big 12,73.0,330.0,,,,,,,23.0,4,0,1,1,1,1,0,0.0,7.0,5.5,35.0,0.0,13.0,61.0,,,,2020,,,,0.0,0.0,1.5,15.0,0.0,3.0,30.0,0.0,0.0,0.5,16.0,0.0,3.0,31.0,,,,,,,0.0,1.0,0.0,5.0,0.0,0.0,7.0
Robert Windsor,Defensive Tackle,Penn State,Big Ten,77.0,290.0,,,,,,,23.0,4,0,1,1,1,1,0,0.0,8.0,3.5,13.0,0.0,5.0,40.0,,,,2020,,,,0.0,3.0,7.5,21.0,0.0,10.0,38.0,0.0,1.0,2.0,6.0,0.0,2.5,19.0,0.0,0.0,3.0,,,,0.0,1.0,1.0,10.0,0.0,1.5,23.0
Khalil Davis,Defensive Tackle,Nebraska,Big Ten,73.0,308.0,4.75,32.0,,,,,24.0,4,0,0,1,1,1,1,1.0,0.0,8.0,28.0,0.0,12.0,44.0,,,,2020,0.0,0.0,1.0,0.0,4.0,3.0,24.0,0.0,8.0,41.0,1.0,2.0,2.0,7.0,0.0,4.0,15.0,,,,,,,0.0,0.0,0.0,4.0,0.0,2.0,5.0
John Penisini,Defensive Tackle,Utah,Pac-12,73.0,318.0,,23.0,25.5,,,4.93,23.0,3,0,0,1,1,1,0,1.0,0.0,2.0,9.0,0.0,7.0,38.0,,,,2020,,,,1.0,1.0,2.0,19.0,0.0,7.0,38.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,,,,,,,,,,
Carlos Davis,Defensive Tackle,Nebraska,Big Ten,74.0,313.0,4.82,27.0,,,,4.52,24.0,4,0,0,1,1,1,1,3.0,1.0,4.0,17.0,0.0,6.0,32.0,0.0,0.0,1.0,2020,0.0,0.0,1.0,5.0,1.0,1.0,13.0,0.0,3.0,27.0,0.0,6.0,2.5,18.0,0.0,3.5,42.0,,,,,,,0.0,3.0,2.0,11.0,0.0,5.0,24.0
Christian Barmore,Defensive Tackle,Alabama,SEC,76.0,310.0,4.93,,,,,,22.0,2,0,0,1,1,0,0,3.0,5.0,6.0,20.0,0.0,7.5,34.0,,,,2021,,,,2.0,5.0,2.0,12.0,0.0,6.0,26.0,,,,,,,,,,,,,,,,,,,,
Levi Onwuzurike,Defensive Tackle,Washington,Pac-12,75.0,290.0,4.89,29.0,30.0,109.0,,,23.0,4,0,1,1,1,1,0,,,,,,,,,,,2021,,,,0.0,0.0,2.0,20.0,0.0,6.0,45.0,0.0,2.0,3.0,16.0,0.0,6.0,31.0,,,,,,,0.0,0.0,2.0,11.0,0.0,3.5,16.0
Alim McNeill,Defensive Tackle,NC State,ACC,74.0,317.0,,,,,,,21.0,3,1,1,1,0,0,0,0.0,1.0,1.0,6.0,1.0,4.5,25.0,0.0,0.0,1.0,2021,,,,2.0,0.0,5.5,16.0,0.0,7.5,28.0,3.0,3.0,3.5,14.0,0.0,5.5,24.0,,,,,,,,,,,,,
Milton Williams,Defensive Tackle,Louisiana Tech,Conference USA,75.0,284.0,4.67,34.0,38.5,121.0,6.96,4.33,22.0,3,0,0,1,1,0,0,0.0,2.0,4.5,22.0,0.0,10.0,45.0,0.0,0.0,1.0,2021,0.0,0.0,2.0,1.0,6.0,5.5,27.0,0.0,9.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
Osa Odighizuwa,Defensive Tackle,UCLA,Pac-12,74.0,282.0,,,,,,,23.0,4,0,1,1,1,1,0,1.0,2.0,4.0,12.0,0.0,6.0,30.0,,,,2021,,,,1.0,3.0,3.5,25.0,0.0,10.0,46.0,2.0,1.0,3.0,20.0,0.0,6.0,29.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,5.5,15.0
Jay Tufele,Defensive Tackle,USC,Pac-12,74.0,305.0,5.0,30.0,30.0,105.0,7.8,4.88,22.0,3,0,1,1,1,0,0,,,,,,,,,,,2021,,,,1.0,1.0,3.5,21.0,0.0,5.5,41.0,0.0,2.0,1.0,9.0,1.0,2.5,16.0,0.0,0.0,1.0,,,,,,,,,,
Bobby Brown III,Defensive Tackle,Texas A&M,SEC,76.0,321.0,,,,,,,21.0,3,1,1,1,0,0,0,0.0,1.0,5.5,10.0,0.0,7.5,22.0,,,,2021,,,,1.0,3.0,0.5,8.0,0.0,2.0,21.0,0.0,1.0,0.0,5.0,0.0,1.0,14.0,,,,,,,,,,,,,
Tyler Shelvin,Defensive Tackle,LSU,SEC,74.0,350.0,5.4,,28.5,97.0,8.15,5.05,23.0,3,0,0,1,1,1,0,,,,,,,,,,,2021,,,,2.0,1.0,0.0,13.0,0.0,3.0,39.0,0.0,0.0,1.5,2.0,0.0,1.5,9.0,,,,,,,,,,,,,
Tommy Togiai,Defensive Tackle,Ohio State,Big Ten,74.0,296.0,4.97,40.0,32.0,105.0,7.2,4.49,21.0,3,1,1,1,0,0,0,2.0,0.0,3.0,12.0,0.0,4.5,23.0,,,,2021,,,,1.0,0.0,0.0,8.0,0.0,2.0,16.0,0.0,0.0,0.0,7.0,0.0,2.0,10.0,,,,,,,,,,,,,
Ta'Quon Graham,Defensive Tackle,Texas,Big 12,75.0,292.0,4.89,32.0,32.5,113.0,7.31,4.68,22.0,4,1,1,1,1,0,0,0.0,2.0,1.0,12.0,0.0,7.0,23.0,0.0,0.0,2.0,2021,,,,1.0,2.0,3.5,16.0,0.0,11.5,30.0,0.0,0.0,1.0,10.0,0.0,2.5,12.0,,,,,,,0.0,0.0,1.0,4.0,0.0,2.0,6.0
Isaiahh Loudermilk,Defensive Tackle,Wisconsin,Big Ten,79.0,293.0,5.08,21.0,28.5,112.0,7.52,4.55,23.0,4,0,1,1,1,1,0,0.0,3.0,2.0,9.0,0.0,2.5,13.0,,,,2021,,,,4.0,2.0,3.0,13.0,0.0,5.0,24.0,2.0,1.0,1.0,8.0,0.0,2.0,14.0,,,,,,,1.0,0.0,1.5,6.0,0.0,1.5,10.0
Daviyon Nixon,Defensive Tackle,Iowa,Big Ten,75.0,313.0,4.9,,28.5,106.0,7.68,4.7,22.0,2,0,0,1,1,0,0,0.0,1.0,5.5,22.0,1.0,13.5,45.0,,,,2021,,,,1.0,5.0,3.0,19.0,0.0,5.5,29.0,,,,,,,,,,,,,,,,,,,,
Tedarrell Slaton,Defensive Tackle,Florida,SEC,76.0,330.0,5.09,27.0,29.0,109.0,7.91,4.81,23.0,4,0,1,1,1,1,0,0.0,5.0,1.5,14.0,0.0,3.5,38.0,,,,2021,,,,1.0,3.0,2.0,12.0,0.0,4.0,29.0,0.0,0.0,0.0,4.0,0.0,1.0,21.0,0.0,0.0,1.0,,,,0.0,1.0,0.0,5.0,0.0,1.5,11.0
Marlon Tuipulotu,Defensive Tackle,USC,Pac-12,74.0,307.0,,,,,,,22.0,4,0,1,1,1,0,0,0.0,0.0,1.0,11.0,0.0,2.5,19.0,,,,2021,,,,3.0,0.0,2.0,23.0,0.0,6.0,46.0,0.0,0.0,3.0,9.0,0.0,3.5,25.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Quinton Bohanna,Defensive Tackle,Kentucky,SEC,76.0,327.0,5.46,,29.0,99.0,8.21,5.15,22.0,4,1,1,1,1,0,0,2.0,3.0,0.0,3.0,0.0,2.0,10.0,,,,2021,,,,1.0,0.0,1.0,9.0,0.0,3.0,18.0,0.0,0.0,1.0,8.0,0.0,4.5,17.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,13.0
Roy Lopez,Defensive Tackle,Arizona,Pac-12,74.0,304.0,5.19,36.0,31.0,105.0,7.39,4.51,24.0,4,0,0,1,1,1,1,0.0,0.0,1.0,10.0,0.0,4.0,18.0,,,,2021,,,,0.0,0.0,2.0,4.0,0.0,2.5,11.0,1.0,2.0,4.0,25.0,0.0,12.5,63.0,0.0,0.0,2.0,,,,3.0,5.0,2.0,11.0,0.0,4.5,39.0
Jaylen Twyman,Defensive Tackle,Pittsburgh,ACC,74.0,301.0,5.4,40.0,32.5,104.0,8.0,,22.0,3,0,1,1,1,0,0,,,,,,,,,,,2021,,,,2.0,2.0,10.5,23.0,0.0,12.0,41.0,0.0,1.0,0.5,6.0,0.0,1.5,15.0,,,,,,,,,,,,,
Jonathan Marshall,Defensive Tackle,Arkansas,SEC,75.0,310.0,4.88,36.0,32.0,114.0,,,23.0,4,0,1,1,1,1,0,1.0,4.0,1.0,20.0,0.0,6.5,35.0,,,,2021,,,,0.0,3.0,0.5,8.0,0.0,4.5,17.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,,,,,,,0.0,2.0,0.0,2.0,0.0,0.5,6.0
Phil Hoskins,Defensive Tackle,Kentucky,SEC,77.0,315.0,5.23,20.0,30.5,103.0,7.87,4.85,24.0,4,0,0,1,1,1,1,0.0,5.0,1.0,15.0,0.0,4.0,30.0,,,,2021,,,,,,,,,,,0.0,1.0,3.0,9.0,0.0,3.5,21.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Khyiris Tonga,Defensive Tackle,BYU,FBS Independents,74.0,325.0,,35.0,,,,,25.0,4,0,0,0,1,1,1,5.0,3.0,2.5,12.0,0.0,2.5,36.0,,,,2021,,,,2.0,1.0,1.0,28.0,0.0,4.0,45.0,2.0,1.0,2.0,19.0,0.0,4.5,29.0,,,,,,,3.0,0.0,2.0,9.0,0.0,4.0,19.0
Jordan Davis,Defensive Tackle,Georgia,SEC,78.0,341.0,4.78,,32.0,123.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,2.0,17.0,0.0,5.5,32.0,,,,2022,,,,0.0,0.0,1.0,7.0,0.0,1.0,16.0,0.0,1.0,2.5,7.0,0.0,4.0,17.0,,,,,,,0.0,0.0,1.5,6.0,0.0,1.5,25.0
Devonte Wyatt,Defensive Tackle,Georgia,SEC,75.0,304.0,4.77,,29.0,111.0,,,24.0,4,0,0,1,1,1,1,1.0,3.0,2.5,18.0,0.0,7.0,39.0,0.0,0.0,1.0,2022,,,,1.0,1.0,0.0,12.0,0.0,2.0,25.0,0.0,1.0,1.0,11.0,0.0,1.5,30.0,,,,,,,1.0,0.0,1.5,8.0,0.0,1.5,19.0
Phidarian Mathis,Defensive Tackle,Alabama,SEC,76.0,310.0,,,23.5,109.0,,4.91,24.0,4,0,0,1,1,1,1,2.0,6.0,9.0,20.0,0.0,11.5,53.0,0.0,0.0,2.0,2022,,,,3.0,3.0,1.0,15.0,0.0,4.5,29.0,0.0,2.0,0.0,13.0,0.0,0.5,27.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,18.0
Travis Jones,Defensive Tackle,UConn,FBS Independents,76.0,325.0,4.92,,28.5,110.0,7.33,4.58,22.0,4,1,1,1,1,0,0,0.0,7.0,4.5,16.0,0.0,7.5,48.0,,,,2022,,,,,,,,,,,0.0,3.0,3.5,14.0,0.0,6.0,40.0,0.0,0.0,1.0,,,,0.0,0.0,0.5,17.0,0.0,5.5,46.0
Zachary Carter,Defensive Tackle,Florida,SEC,76.0,282.0,4.99,19.0,27.5,110.0,,,23.0,4,0,1,1,1,1,0,2.0,3.0,8.0,15.0,0.0,11.5,31.0,,,,2022,0.0,0.0,2.0,2.0,12.0,5.0,14.0,1.0,9.5,36.0,2.0,4.0,4.5,10.0,0.0,6.0,30.0,,,,,,,2.0,1.0,0.0,1.0,0.0,1.0,8.0
Perrion Winfrey,Defensive Tackle,Oklahoma,Big 12,76.0,290.0,4.89,,,,,,22.0,2,0,0,1,1,0,0,0.0,2.0,5.5,11.0,0.0,11.0,23.0,,,,2022,,,,3.0,1.0,0.5,9.0,0.0,5.5,17.0,,,,,,,,,,,,,,,,,,,,
Neil Farrell Jr.,Defensive Tackle,LSU,SEC,76.0,330.0,,,,,,,23.0,4,0,1,1,1,1,0,2.0,1.0,2.0,20.0,0.0,9.5,45.0,,,,2022,,,,1.0,0.0,1.0,8.0,0.0,1.5,24.0,1.0,4.0,3.0,15.0,0.0,7.0,46.0,,,,,,,1.0,2.0,1.5,10.0,0.0,4.0,23.0
D.J. Davidson,Defensive Tackle,Arizona State,Pac-12,75.0,327.0,,,,,,,22.0,4,1,1,1,1,0,0,4.0,1.0,0.5,21.0,0.0,6.0,57.0,0.0,0.0,1.0,2022,,,,0.0,0.0,1.0,9.0,0.0,1.5,19.0,1.0,2.0,1.5,26.0,0.0,4.5,51.0,,,,,,,1.0,0.0,2.0,6.0,0.0,3.5,10.0
Thomas Booker,Defensive Tackle,Stanford,Pac-12,75.0,301.0,4.94,,,110.0,7.33,4.41,22.0,4,1,1,1,1,0,0,1.0,6.0,1.5,28.0,0.0,5.0,59.0,,,,2022,,,,2.0,0.0,1.0,15.0,0.0,3.0,21.0,3.0,2.0,4.0,32.0,0.0,8.5,50.0,,,,0.0,0.0,1.0,2.0,1.0,3.5,14.0,0.0,4.0,29.0
Otito Ogbonnia,Defensive Tackle,UCLA,Pac-12,76.0,324.0,,29.0,,,,,22.0,4,1,1,1,1,0,0,2.0,2.0,2.0,15.0,0.0,5.0,27.0,0.0,0.0,1.0,2022,,,,2.0,1.0,1.5,7.0,0.0,1.5,16.0,1.0,0.0,1.0,9.0,0.0,2.0,12.0,,,,,,,1.0,1.0,0.0,9.0,0.0,0.0,21.0
Matthew Butler,Defensive Tackle,Tennessee,SEC,76.0,297.0,5.0,17.0,32.0,112.0,7.89,4.81,23.0,4,0,1,1,1,1,0,0.0,7.0,5.0,19.0,0.0,8.5,47.0,,,,2022,,,,1.0,4.0,2.0,22.0,0.0,3.0,43.0,2.0,1.0,2.5,23.0,0.0,3.0,45.0,,,,,,,0.0,0.0,0.0,2.0,0.0,1.0,13.0
John Ridgeway,Defensive Tackle,Arkansas,SEC,77.0,321.0,5.3,,,101.0,,4.73,23.0,1,0,0,0,0,1,0,0.0,1.0,2.0,11.0,0.0,4.0,39.0,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Jackson,Defensive Tackle,Air Force,Mountain West,77.0,294.0,,,,,,,24.0,4,0,0,1,1,1,1,1.0,1.0,7.5,24.0,0.0,12.5,41.0,,,,2022,,,,,,,,,,,2.0,4.0,3.5,16.0,0.0,4.5,38.0,,,,,,,1.0,1.0,2.5,17.0,0.0,9.5,39.0
Matt Henningsen,Defensive Tackle,Wisconsin,Big Ten,75.0,289.0,,,,,,,23.0,4,0,1,1,1,1,0,1.0,0.0,3.5,14.0,0.0,6.0,34.0,,,,2022,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,14.0,2.0,5.0,24.0,0.0,0.0,3.0,,,,1.0,3.0,1.0,8.0,0.0,2.0,28.0
Curtis Brooks,Defensive Tackle,Cincinnati,American Athletic,,,,,,,,,24.0,4,0,0,1,1,1,1,0.0,3.0,7.5,32.0,0.0,12.5,56.0,0.0,0.0,1.0,2022,,,,0.0,1.0,2.5,18.0,0.0,2.5,26.0,2.0,4.0,2.0,24.0,0.0,7.5,41.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,8.0,0.0,0.0,23.0
Kalia Davis,Defensive Tackle,UCF,American Athletic,73.0,302.0,,,,,,,23.0,4,0,1,1,1,1,0,0.0,3.0,1.0,8.0,0.0,4.5,17.0,,,,2022,,,,,,,,,,,1.0,2.0,3.0,14.0,0.0,8.0,26.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,10.0,0.0,2.5,17.0
Jonathan Ford,Defensive Tackle,Miami,ACC,77.0,333.0,,,29.0,102.0,,,22.0,4,1,1,1,1,0,0,0.0,1.0,0.0,4.0,0.0,1.0,14.0,,,,2022,,,,0.0,1.0,0.0,9.0,0.0,1.5,19.0,1.0,0.0,3.0,7.0,0.0,3.5,18.0,,,,,,,0.0,0.0,0.0,1.0,0.0,2.0,8.0
