name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,draft_year,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Haason Reddick,Inside Linebacker,Temple,American Athletic,74.0,237.0,4.52,24.0,36.5,133.0,7.01,4.37,22.0,1,0,0,0,1,0,0,3.0,3.0,9.5,43.0,0.0,22.5,65.0,0.0,0.0,1.0,,,,,5.0,1.0,0.0,5.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrad Davis,Inside Linebacker,Florida,SEC,73.0,238.0,,,,,,,22.0,2,0,0,1,1,0,0,4.0,5.0,2.0,29.0,0.0,6.0,60.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuben Foster,Inside Linebacker,Alabama,SEC,72.0,229.0,,,,,,,23.0,1,0,0,0,0,1,0,2.0,7.0,5.0,60.0,0.0,13.0,115.0,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raekwon McMillan,Inside Linebacker,Ohio State,Big Ten,74.0,240.0,4.61,23.0,33.0,121.0,7.15,4.39,21.0,3,1,1,1,0,0,0,4.0,2.0,2.0,49.0,0.0,7.0,102.0,,,,,,,,,,,,19.0,1.0,1.0,19.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Cunningham,Inside Linebacker,Vanderbilt,SEC,76.0,234.0,4.67,15.0,35.0,125.0,7.03,4.29,22.0,1,0,0,0,1,0,0,3.0,1.0,0.0,71.0,0.0,16.5,125.0,0.0,0.0,4.0,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Riley,Inside Linebacker,LSU,SEC,73.0,232.0,4.58,18.0,34.5,122.0,6.89,4.21,23.0,1,0,0,0,0,1,0,1.0,3.0,1.5,39.0,0.0,9.0,92.0,0.0,0.0,1.0,,,,,3.0,1.0,0.0,3.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Anzalone,Inside Linebacker,Florida,SEC,75.0,241.0,4.63,16.0,30.5,116.0,6.88,4.25,22.0,1,0,0,0,1,0,0,2.0,6.0,3.0,22.0,0.0,4.0,53.0,0.0,0.0,1.0,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendell Beckwith,Inside Linebacker,LSU,SEC,74.0,243.0,,20.0,,,,,22.0,3,0,1,1,1,0,0,4.0,1.0,1.0,33.0,0.0,6.0,91.0,0.0,0.0,1.0,,,,,,,,,29.0,1.0,1.0,29.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Gedeon,Inside Linebacker,Michigan,Big Ten,74.0,244.0,4.75,27.0,34.5,119.0,6.98,4.13,22.0,1,0,0,0,1,0,0,2.0,2.0,4.5,39.0,0.0,15.0,94.0,1.0,0.0,0.0,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair Brown,Inside Linebacker,Ohio,Mid-American,72.0,238.0,4.65,,37.0,124.0,6.92,4.18,23.0,1,0,0,0,0,1,0,0.0,0.0,4.5,71.0,0.0,14.5,128.0,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukeme Eligwe,Inside Linebacker,Georgia Southern,Sun Belt,74.0,234.0,,,,,,,23.0,1,0,0,0,0,1,0,3.0,3.0,2.5,65.0,0.0,8.5,104.0,0.0,0.0,1.0,,,,,6.0,1.0,0.0,6.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Evans,Inside Linebacker,Oklahoma,Big 12,75.0,232.0,,,,,,,22.0,3,0,1,1,1,0,0,8.0,3.0,2.5,55.0,2.0,10.0,98.0,0.0,0.0,1.0,,,,,36.3,4.0,2.0,145.0,0.0,1.0,0.0,0.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton Vander Esch,Inside Linebacker,Boise State,Mountain West,76.0,256.0,,,,,,,21.0,2,0,1,1,0,0,0,4.0,1.0,4.0,91.0,0.0,8.5,141.0,,,,0.0,1.0,0.0,0.0,15.7,3.0,0.0,47.0,,,,,2018,,,,,,,,0.0,0.0,1.0,23.0,0.0,3.5,27.0,,,,,,,,,,,,,,,,,,,,
Rashaan Evans,Inside Linebacker,Alabama,SEC,74.0,232.0,,,30.0,116.0,6.95,4.36,22.0,2,0,0,1,1,0,0,3.0,7.0,6.0,35.0,0.0,13.0,74.0,0.0,0.0,1.0,,,,,,,,,,,,,2018,,,,,0.0,0.0,1.0,2.0,6.0,4.0,31.0,0.0,4.5,52.0,,,,,,,,,,,,,,,,,,,,
Fred Warner,Inside Linebacker,BYU,FBS Independents,75.0,236.0,4.64,21.0,38.5,119.0,6.9,4.28,21.0,4,1,1,1,0,0,0,5.0,0.0,1.0,48.0,0.0,9.0,87.0,0.0,0.0,1.0,20.3,3.0,1.0,61.0,26.0,1.0,0.0,26.0,13.5,2.0,0.0,27.0,2018,20.0,1.0,1.0,20.0,,,,6.0,0.0,1.5,47.0,1.0,10.5,86.0,,,,,,,,,,,,,,,,,,,,
Josey Jewell,Inside Linebacker,Iowa,Big Ten,73.0,234.0,4.82,18.0,33.0,117.0,6.8,4.27,23.0,3,0,0,1,1,1,0,11.0,2.0,4.5,69.0,0.0,13.5,132.0,0.0,0.0,1.0,,,,,18.5,2.0,0.0,37.0,15.8,4.0,1.0,63.0,2018,,,,,,,,9.0,5.0,1.5,58.0,0.0,6.0,124.0,,,,,,,,,,,,,,,,,,,,
Kenny Young,Inside Linebacker,UCLA,Pac-12,73.0,236.0,4.6,23.0,36.0,117.0,7.38,4.48,23.0,3,0,0,1,1,1,0,3.0,0.0,1.0,77.0,0.0,8.5,109.0,0.0,0.0,1.0,40.0,1.0,0.0,40.0,,,,,23.0,1.0,1.0,23.0,2018,,,,,0.0,0.0,3.0,2.0,0.0,5.0,57.0,0.0,8.5,90.0,,,,,,,,,,,,,,,,,,,,
Ja'Whaun Bentley,Inside Linebacker,Purdue,Big Ten,74.0,252.0,,,,,,,22.0,2,0,0,1,1,0,0,2.0,0.0,0.0,23.0,1.0,4.5,46.0,,,,,,,,76.0,1.0,1.0,76.0,,,,,2018,,,,,,,,1.0,0.0,0.0,37.0,0.0,7.0,50.0,,,,,,,,,,,,,,,,,,,,
Micah Kiser,Inside Linebacker,Virginia,ACC,72.0,238.0,4.66,,35.5,121.0,7.05,4.24,23.0,2,0,0,0,1,1,0,4.0,2.0,5.0,50.0,0.0,9.5,143.0,0.0,0.0,2.0,7.0,1.0,0.0,7.0,,,,,,,,,2018,,,,,0.0,0.0,1.0,6.0,2.0,6.5,65.0,0.0,10.0,133.0,,,,,,,,,,,,,,,,,,,,
Genard Avery,Inside Linebacker,Memphis,American Athletic,73.0,248.0,4.59,26.0,36.0,124.0,6.9,4.36,23.0,2,0,0,0,1,1,0,2.0,7.0,8.5,52.0,0.0,22.0,80.0,0.0,0.0,1.0,25.5,2.0,2.0,51.0,,,,,,,,,2018,,,,,,,,2.0,6.0,5.0,61.0,2.0,10.0,79.0,,,,,,,,,,,,,,,,,,,,
Shaun Dion Hamilton,Inside Linebacker,Alabama,SEC,72.0,228.0,,,,,,,22.0,2,0,0,1,1,0,0,2.0,2.0,2.5,20.0,0.0,5.5,40.0,,,,20.0,2.0,0.0,40.0,,,,,,,,,2018,,,,,,,,1.0,1.0,2.0,31.0,0.0,9.0,64.0,,,,,,,,,,,,,,,,,,,,
Jack Cichy,Inside Linebacker,Wisconsin,Big Ten,74.0,238.0,,18.0,,,,,23.0,2,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,2.0,3.0,1.5,45.0,0.0,7.0,60.0,,,,,,,,,,,,,,,,,,,,
Azeem Victor,Inside Linebacker,Washington,Pac-12,74.0,240.0,4.72,19.0,32.5,115.0,7.2,4.4,22.0,3,0,1,1,1,0,0,3.0,0.0,2.0,21.0,0.0,2.0,30.0,,,,,,,,,,,,27.0,1.0,1.0,27.0,2018,,,,,0.0,0.0,1.0,1.0,0.0,0.0,46.0,0.0,3.0,68.0,,,,,,,,,,,,,,,,,,,,
Matthew Adams,Inside Linebacker,Houston,American Athletic,72.0,240.0,,,,,,,22.0,2,0,0,1,1,0,0,2.0,0.0,1.5,54.0,0.0,6.5,88.0,0.0,0.0,1.0,,,,,,,,,,,,,2018,,,,,0.0,0.0,1.0,0.0,2.0,2.0,57.0,0.0,7.5,82.0,,,,,,,,,,,,,,,,,,,,
Quentin Poling,Inside Linebacker,Ohio,Mid-American,72.0,234.0,,,,,,,24.0,4,0,0,1,1,1,1,5.0,5.0,5.5,49.0,0.0,12.5,107.0,0.0,0.0,2.0,,,,,,,,,21.5,4.0,2.0,86.0,2018,25.7,3.0,0.0,77.0,,,,4.0,4.0,4.0,66.0,0.0,13.5,109.0,,,,,,,,,,,,,,,,,,,,
Andre Smith,Inside Linebacker,North Carolina,ACC,72.0,235.0,4.63,19.0,,,,,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,10.0,0.0,0.5,21.0,,,,,,,,73.0,1.0,0.0,73.0,28.0,1.0,0.0,28.0,2018,,,,,,,,3.0,0.0,1.0,56.0,0.0,6.0,113.0,,,,,,,,,,,,,,,,,,,,
Zaire Franklin,Inside Linebacker,Syracuse,ACC,72.0,239.0,,,,,,,22.0,3,0,1,1,1,0,0,2.0,5.0,1.5,41.0,0.0,5.5,84.0,,,,13.0,1.0,0.0,13.0,,,,,21.0,1.0,0.0,21.0,2018,,,,,,,,3.0,1.0,2.0,56.0,0.0,10.0,101.0,,,,,,,,,,,,,,,,,,,,
Devin White,Inside Linebacker,LSU,SEC,72.0,237.0,4.42,22.0,39.5,118.0,7.07,4.17,21.0,3,1,1,1,0,0,0,6.0,8.0,3.0,62.0,0.0,12.0,123.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,,,,,,,,,2019,,,,,0.0,0.0,1.0,3.0,5.0,4.5,37.0,0.0,14.0,133.0,0.0,0.0,1.0,15.0,0.0,3.0,30.0,0.0,0.0,1.0,,,,,,,,,,
Devin Bush,Inside Linebacker,Michigan,Big Ten,71.0,234.0,4.43,21.0,40.5,124.0,6.93,4.23,21.0,3,1,1,1,0,0,0,4.0,2.0,5.0,41.0,0.0,9.0,67.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,2019,,,,,,,,8.0,1.0,5.0,43.0,0.0,9.5,93.0,0.0,1.0,0.0,6.0,0.0,0.0,11.0,,,,,,,,,,,,,
Jahlani Tavai,Inside Linebacker,Hawai'i,Mountain West,74.0,250.0,,,,,,,22.0,3,0,1,1,1,0,0,2.0,1.0,2.0,42.0,0.0,5.5,82.0,,,,8.0,1.0,0.0,8.0,,,,,0.0,1.0,0.0,0.0,2019,,,,,,,,1.0,5.0,5.5,66.0,0.0,11.0,124.0,2.0,4.0,7.0,85.0,0.0,19.5,128.0,0.0,0.0,2.0,,,,,,,,,,
Drue Tranquill,Inside Linebacker,Notre Dame,FBS Independents,74.0,234.0,4.57,31.0,37.5,122.0,6.94,4.14,24.0,3,0,0,0,1,1,1,4.0,3.0,1.5,59.0,0.0,6.5,79.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,2019,,,,,0.0,0.0,3.0,2.0,3.0,1.5,39.0,0.0,10.5,77.0,2.0,1.0,0.0,54.0,0.0,2.0,79.0,,,,,,,,,,,,,
Ben Burr-Kirven,Inside Linebacker,Washington,Pac-12,72.0,230.0,4.56,21.0,34.5,121.0,6.85,4.09,21.0,3,1,1,1,0,0,0,6.0,0.0,2.0,89.0,0.0,4.5,165.0,0.0,0.0,3.0,11.0,1.0,0.0,11.0,11.0,2.0,0.0,22.0,27.0,1.0,0.0,27.0,2019,,,,,,,,5.0,0.0,1.0,52.0,0.0,4.0,84.0,1.0,1.0,0.0,25.0,0.0,1.0,44.0,,,,,,,,,,,,,
Ryan Connelly,Inside Linebacker,Wisconsin,Big Ten,74.0,242.0,4.66,,34.5,118.0,7.09,4.31,23.0,3,0,0,1,1,1,0,1.0,6.0,3.0,58.0,0.0,10.0,89.0,,,,5.0,1.0,0.0,5.0,,,,,12.0,1.0,0.0,12.0,2019,,,,,0.0,0.0,1.0,1.0,3.0,3.0,57.0,0.0,11.0,88.0,3.0,0.0,0.0,36.0,0.0,7.0,59.0,0.0,0.0,1.0,,,,,,,,,,
Mack Wilson,Inside Linebacker,Alabama,SEC,73.0,240.0,,,32.0,117.0,,,21.0,3,1,1,1,0,0,0,5.0,7.0,1.0,36.0,0.0,5.0,71.0,,,,9.8,4.0,1.0,39.0,0.0,2.0,0.0,0.0,,,,,2019,,,,,,,,2.0,4.0,0.0,21.0,1.0,2.5,40.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,1.0,,,,,,,,,,
Blake Cashman,Inside Linebacker,Minnesota,Big Ten,73.0,237.0,4.5,18.0,37.5,124.0,6.95,4.12,23.0,3,0,0,1,1,1,0,5.0,0.0,2.5,62.0,1.0,15.0,104.0,0.0,0.0,1.0,,,,,,,,,,,,,2019,,,,,,,,2.0,0.0,2.0,20.0,0.0,5.0,30.0,0.0,0.0,7.5,31.0,0.0,10.5,45.0,,,,,,,,,,,,,
Cameron Smith,Inside Linebacker,USC,Pac-12,74.0,238.0,4.69,15.0,39.0,123.0,,4.23,22.0,4,1,1,1,1,0,0,3.0,0.0,1.0,51.0,0.0,7.5,69.0,,,,4.0,1.0,0.0,4.0,,,,,,,,,2019,40.7,3.0,1.0,122.0,0.0,0.0,1.0,3.0,1.0,0.5,58.0,0.0,11.0,107.0,4.0,0.0,1.0,45.0,0.0,7.0,83.0,0.0,0.0,1.0,,,,,,,,,,
Ulysees Gilbert III,Inside Linebacker,Akron,Mid-American,72.0,224.0,,,,,,,22.0,3,0,1,1,1,0,0,1.0,0.0,0.5,47.0,1.0,7.5,85.0,0.0,0.0,2.0,23.0,3.0,1.0,69.0,,,,,,,,,2019,,,,,0.0,0.0,1.0,4.0,5.0,5.0,65.0,1.0,9.5,140.0,3.0,6.0,4.0,65.0,1.0,11.5,121.0,,,,,,,,,,,,,
Deshaun Davis,Inside Linebacker,Auburn,SEC,71.0,234.0,,25.0,31.0,111.0,,4.38,23.0,3,0,0,1,1,1,0,2.0,4.0,3.5,57.0,0.0,14.5,112.0,,,,,,,,,,,,,,,,2019,,,,,0.0,0.0,2.0,1.0,1.0,2.5,34.0,0.0,5.5,77.0,3.0,5.0,0.0,34.0,0.0,7.0,63.0,,,,,,,,,,,,,
Ty Summers,Inside Linebacker,TCU,Big 12,73.0,241.0,4.51,27.0,36.0,123.0,,,23.0,4,0,1,1,1,1,0,0.0,3.0,4.0,29.0,0.0,5.5,46.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,2019,12.0,1.0,0.0,12.0,0.0,0.0,1.0,5.0,3.0,4.0,34.0,0.0,8.0,59.0,3.0,1.0,1.5,59.0,0.0,5.0,121.0,,,,,,,,,,,,,
Dakota Allen,Inside Linebacker,Texas Tech,Big 12,73.0,232.0,4.77,23.0,31.5,116.0,6.88,4.04,23.0,4,0,1,1,1,1,0,2.0,5.0,0.5,37.0,0.0,6.5,73.0,0.0,0.0,2.0,18.0,2.0,0.0,36.0,,,,,,,,,2019,2.0,2.0,0.0,4.0,0.0,0.0,1.0,4.0,3.0,2.0,58.0,0.0,6.0,101.0,,,,,,,,,,,,,,,,,,,,
Kenneth Murray,Inside Linebacker,Oklahoma,Big 12,75.0,241.0,4.52,21.0,38.0,129.0,,,21.0,3,1,1,1,0,0,0,4.0,5.0,4.0,69.0,0.0,17.0,102.0,,,,,,,,,,,,,,,,2020,,,,,0.0,0.0,1.0,2.0,4.0,4.5,71.0,0.0,12.5,155.0,0.0,3.0,1.0,39.0,0.0,7.5,72.0,0.0,0.0,1.0,,,,,,,,,,
Patrick Queen,Inside Linebacker,LSU,SEC,72.0,229.0,4.5,18.0,35.0,125.0,,,21.0,3,0,1,1,0,0,0,2.0,1.0,3.0,37.0,0.0,12.0,85.0,,,,,,,,16.0,1.0,0.0,16.0,,,,,2020,,,,,,,,0.0,1.0,1.0,20.0,0.0,5.0,40.0,0.0,0.0,0.0,2.0,0.0,0.5,6.0,,,,,,,,,,,,,
Willie Gay Jr.,Inside Linebacker,Mississippi State,SEC,73.0,243.0,4.46,21.0,39.5,136.0,7.08,4.3,22.0,3,0,1,1,1,0,0,1.0,1.0,0.0,7.0,1.0,2.5,17.0,1.0,0.0,2.0,24.5,2.0,0.0,49.0,52.0,1.0,1.0,52.0,,,,,2020,,,,,0.0,0.0,1.0,1.0,4.0,4.5,18.0,0.0,5.0,44.0,2.0,1.0,1.0,8.0,0.0,2.0,23.0,,,,,,,,,,,,,
Logan Wilson,Inside Linebacker,Wyoming,Mountain West,74.0,241.0,4.63,21.0,32.0,121.0,7.07,4.27,24.0,4,0,0,1,1,1,1,7.0,2.0,1.0,62.0,1.0,8.5,105.0,,,,10.5,2.0,0.0,21.0,11.8,4.0,1.0,47.0,3.0,1.0,0.0,3.0,2020,27.7,3.0,1.0,83.0,,,,2.0,1.0,2.0,56.0,0.0,10.5,99.0,1.0,0.0,1.0,74.0,0.0,8.0,108.0,,,,0.0,0.0,3.0,4.0,0.0,3.0,55.0,1.0,7.5,94.0
Jacob Phillips,Inside Linebacker,LSU,SEC,75.0,229.0,4.66,,39.0,126.0,7.38,4.33,21.0,3,1,1,1,0,0,0,1.0,3.0,1.0,56.0,0.0,7.5,113.0,,,,45.0,1.0,1.0,45.0,,,,,,,,,2020,,,,,,,,3.0,5.0,1.0,29.0,1.0,5.5,83.0,1.0,1.0,0.0,8.0,0.0,0.5,18.0,,,,,,,,,,,,,
Malik Harrison,Inside Linebacker,Ohio State,Big Ten,75.0,247.0,4.66,,36.0,122.0,6.83,4.32,22.0,4,1,1,1,1,0,0,4.0,1.0,4.5,49.0,0.0,16.5,75.0,0.0,0.0,2.0,13.0,1.0,0.0,13.0,,,,,,,,,2020,,,,,,,,4.0,3.0,2.5,55.0,0.0,8.5,81.0,1.0,0.0,2.0,22.0,0.0,3.0,37.0,,,,,,,0.0,0.0,1.0,10.0,0.0,1.0,13.0
Mykal Walker,Inside Linebacker,Fresno State,Mountain West,75.0,230.0,4.65,20.0,33.0,122.0,7.09,4.25,23.0,2,0,0,0,1,1,0,4.0,3.0,2.5,56.0,0.0,9.0,96.0,0.0,0.0,1.0,38.0,1.0,1.0,38.0,,,,,,,,,2020,,,,,0.0,0.0,1.0,6.0,5.0,4.0,38.0,1.0,13.5,86.0,,,,,,,,,,,,,,,,,,,,
