name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,draft_year,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Troy Dye,Inside Linebacker,Oregon,Pac-12,75.0,231.0,,,,,,,23.0,4,0,1,1,1,1,0,4.0,4.0,2.5,52.0,0.0,9.5,84.0,,,,0.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,5.0,2020,4.0,1.0,0.0,4.0,,,,5.0,4.0,1.0,57.0,0.0,5.0,101.0,4.0,1.0,4.0,62.0,0.0,14.0,107.0,,,,,,,1.0,1.0,7.5,57.0,0.0,13.0,91.0
Shaquille Quarterman,Inside Linebacker,Miami,ACC,73.0,234.0,4.74,23.0,31.0,120.0,,,22.0,4,1,1,1,1,0,0,5.0,7.0,1.0,51.0,0.0,15.5,107.0,0.0,0.0,2.0,20.0,1.0,0.0,20.0,,,,,,,,,2020,,,,,0.0,0.0,1.0,2.0,6.0,6.0,45.0,0.0,14.0,82.0,3.0,4.0,2.5,41.0,0.0,7.0,78.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,3.0,43.0,0.0,10.0,84.0
Kamal Martin,Inside Linebacker,Minnesota,Big Ten,75.0,240.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,0.0,1.0,36.0,0.0,2.5,66.0,,,,,,,,7.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,2020,0.0,1.0,0.0,0.0,,,,2.0,0.0,0.0,32.0,0.0,3.5,56.0,1.0,1.0,2.0,29.0,0.0,6.5,42.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.5,7.0,0.0,0.5,10.0
Shaun Bradley,Inside Linebacker,Temple,American Athletic,73.0,235.0,4.51,14.0,32.5,121.0,7.07,4.24,23.0,4,0,0,1,1,1,0,3.0,1.0,0.0,62.0,0.0,8.0,87.0,0.0,0.0,1.0,47.0,2.0,1.0,94.0,,,,,0.0,1.0,0.0,0.0,2020,,,,,,,,1.0,2.0,1.0,51.0,1.0,4.0,78.0,1.0,4.0,1.0,51.0,0.0,10.0,85.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,6.0
Evan Weaver,Inside Linebacker,California,Pac-12,74.0,237.0,4.76,15.0,32.0,117.0,7.02,4.21,22.0,4,1,1,1,1,0,0,3.0,5.0,2.5,103.0,0.0,11.5,181.0,,,,23.5,2.0,1.0,47.0,,,,,,,,,2020,,,,,,,,6.0,1.0,3.5,74.0,1.0,6.5,121.0,2.0,2.0,0.0,30.0,0.0,2.0,55.0,,,,1.0,0.0,0.0,0.0,0.0,1.5,9.0,0.0,1.5,16.0
Cassh Maluia,Inside Linebacker,Wyoming,Mountain West,72.0,248.0,,,,,,,21.0,4,1,1,1,0,0,0,1.0,1.0,0.5,33.0,0.0,7.0,61.0,,,,0.0,1.0,0.0,0.0,15.0,2.0,0.0,30.0,0.0,1.0,0.0,0.0,2020,,,,,,,,3.0,1.0,0.0,23.0,0.0,6.0,46.0,1.0,0.0,1.0,32.0,0.0,3.5,68.0,0.0,0.0,3.0,,,,0.0,0.0,0.0,12.0,0.0,0.0,16.0
Jordan Glasgow,Inside Linebacker,Michigan,Big Ten,73.0,226.0,,,,,,,24.0,4,0,0,1,1,1,1,1.0,4.0,5.0,46.0,0.0,7.0,89.0,0.0,0.0,1.0,,,,,,,,,,,,,2020,,,,,,,,0.0,1.0,2.0,18.0,0.0,3.0,27.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0
Markus Bailey,Inside Linebacker,Purdue,Big Ten,72.0,235.0,,15.0,,,,,23.0,4,0,1,1,1,1,0,0.0,1.0,1.0,10.0,0.0,2.0,14.0,,,,41.0,1.0,1.0,41.0,,,,,22.0,1.0,0.0,22.0,2020,11.0,4.0,0.0,44.0,,,,2.0,1.0,4.5,67.0,1.0,7.0,95.0,2.0,2.0,7.0,67.0,0.0,11.0,89.0,,,,,,,2.0,0.0,0.0,61.0,0.0,6.0,97.0
Clay Johnston,Inside Linebacker,Baylor,Big 12,73.0,227.0,,18.0,,,,,24.0,4,0,0,1,1,1,1,5.0,1.0,2.5,35.0,0.0,8.0,58.0,,,,,,,,8.0,1.0,0.0,8.0,,,,,2020,65.0,1.0,0.0,65.0,,,,2.0,0.0,1.0,58.0,0.0,4.5,87.0,0.0,3.0,1.0,34.0,0.0,9.0,54.0,,,,,,,0.0,1.0,0.0,14.0,0.0,4.0,26.0
TJ Brunson,Inside Linebacker,South Carolina,SEC,72.0,230.0,,,,,,,22.0,4,1,1,1,1,0,0,5.0,0.0,0.0,44.0,0.0,6.0,77.0,,,,,,,,5.0,1.0,0.0,5.0,,,,,2020,,,,,,,,1.0,2.0,2.5,55.0,0.0,7.0,91.0,0.0,2.0,2.0,53.0,0.0,4.5,88.0,0.0,0.0,3.0,,,,0.0,1.0,0.0,8.0,0.0,0.0,12.0
Tae Crowder,Inside Linebacker,Georgia,SEC,74.0,235.0,,,,,,,23.0,3,0,0,0,1,1,0,4.0,0.0,0.0,29.0,1.0,4.0,62.0,0.0,0.0,1.0,28.0,2.0,0.0,56.0,,,,,,,,,2020,,,,,0.0,0.0,1.0,1.0,0.0,1.5,18.0,0.0,6.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,,,,,,,,,,,,,
Micah Parsons,Inside Linebacker,Penn State,Big Ten,75.0,246.0,4.39,19.0,34.0,126.0,6.89,4.4,22.0,3,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,0.0,0.0,1.0,5.0,4.0,5.0,52.0,0.0,14.0,109.0,0.0,5.0,1.5,48.0,0.0,5.0,83.0,,,,,,,,,,,,,
Jamin Davis,Inside Linebacker,Kentucky,SEC,76.0,234.0,4.47,,42.0,132.0,,,22.0,3,0,1,1,1,0,0,2.0,1.0,1.5,48.0,1.0,4.0,102.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,3.0,1.0,90.0,18.0,1.0,0.0,18.0,2021,,,,,,,,0.0,2.0,1.0,12.0,0.0,1.0,32.0,1.0,0.0,0.0,6.0,0.0,0.0,10.0,,,,,,,,,,,,,
Jeremiah Owusu-Koramoah,Inside Linebacker,Notre Dame,FBS Independents,74.0,221.0,,,36.5,124.0,6.8,4.15,21.0,2,0,1,1,0,0,0,3.0,1.0,1.5,41.0,0.0,11.0,61.0,0.0,0.0,2.0,,,,,0.0,1.0,0.0,0.0,,,,,2021,,,,,0.0,0.0,2.0,4.0,3.0,8.5,52.0,0.0,13.5,79.0,,,,,,,,,,,,,,,,,,,,
Nick Bolton,Inside Linebacker,Missouri,SEC,71.0,237.0,4.6,24.0,32.0,,7.4,4.5,21.0,3,1,1,1,0,0,0,5.0,1.0,2.0,53.0,0.0,8.0,95.0,0.0,0.0,1.0,19.0,2.0,1.0,38.0,,,,,,,,,2021,,,,,,,,8.0,3.0,1.0,70.0,1.0,7.5,100.0,0.0,0.0,1.0,12.0,0.0,1.0,22.0,,,,,,,,,,,,,
Pete Werner,Inside Linebacker,Ohio State,Big Ten,75.0,238.0,4.58,20.0,39.5,122.0,6.95,4.38,22.0,4,0,1,1,1,0,0,1.0,2.0,1.0,28.0,0.0,2.5,54.0,,,,,,,,,,,,,,,,2021,,,,,0.0,0.0,2.0,3.0,0.0,0.0,39.0,0.0,5.5,64.0,7.0,1.0,3.0,38.0,0.0,7.5,58.0,,,,,,,0.0,0.0,0.0,6.0,0.0,0.5,9.0
Chazz Surratt,Inside Linebacker,North Carolina,ACC,74.0,229.0,4.58,25.0,31.0,,7.02,4.16,24.0,4,0,0,1,1,1,1,3.0,6.0,6.0,49.0,0.0,7.5,91.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,,,,,2021,,,,,,,,3.0,10.0,6.5,66.0,0.0,15.0,115.0,,,,,,,,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Monty Rice,Inside Linebacker,Georgia,SEC,72.0,233.0,4.58,,32.0,121.0,7.34,4.33,22.0,4,1,1,1,1,0,0,1.0,2.0,1.0,30.0,1.0,4.0,49.0,0.0,0.0,2.0,,,,,,,,,,,,,2021,,,,,,,,3.0,2.0,0.0,50.0,0.0,3.0,89.0,1.0,0.0,1.0,25.0,0.0,1.5,59.0,,,,,,,0.0,0.0,0.0,10.0,0.0,2.0,22.0
Ernest Jones,Inside Linebacker,South Carolina,SEC,74.0,230.0,4.65,,38.5,,,,21.0,3,1,1,1,0,0,0,0.0,3.0,1.0,42.0,0.0,5.0,86.0,0.0,0.0,1.0,0.5,2.0,0.0,1.0,,,,,,,,,2021,,,,,,,,5.0,1.0,1.0,59.0,0.0,5.5,97.0,0.0,2.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,1.0,,,,,,,,,,
Derrick Barnes,Inside Linebacker,Purdue,Big Ten,72.0,238.0,4.57,29.0,37.0,119.0,,4.27,22.0,4,1,1,1,1,0,0,1.0,2.0,0.0,40.0,0.0,5.5,54.0,,,,,,,,9.0,1.0,0.0,9.0,,,,,2021,,,,,0.0,0.0,1.0,2.0,3.0,7.5,47.0,0.0,11.0,63.0,0.0,0.0,3.0,47.0,0.0,4.0,72.0,,,,,,,0.0,0.0,0.0,11.0,0.0,0.5,17.0
Jabril Cox,Inside Linebacker,LSU,SEC,75.0,232.0,,,,,,,23.0,1,0,0,0,0,1,0,5.0,4.0,1.0,37.0,1.0,6.5,58.0,0.0,0.0,1.0,,,,,21.3,3.0,1.0,64.0,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Johnson,Inside Linebacker,Texas A&M,SEC,73.0,229.0,,,,,,,22.0,4,1,1,1,1,0,0,3.0,0.0,3.0,44.0,1.0,7.5,85.0,,,,,,,,15.0,1.0,1.0,15.0,,,,,2021,,,,,0.0,0.0,1.0,1.0,3.0,1.0,33.0,1.0,9.5,71.0,0.0,0.0,0.5,10.0,0.0,5.0,27.0,0.0,0.0,1.0,,,,0.0,3.0,1.0,9.0,0.0,1.5,20.0
Tony Fields II,Inside Linebacker,West Virginia,Big 12,72.0,222.0,,,,,,,22.0,4,1,1,1,1,0,0,2.0,4.0,1.0,34.0,0.0,4.0,88.0,,,,14.0,1.0,0.0,14.0,22.0,1.0,0.0,22.0,,,,,2021,3.0,1.0,0.0,3.0,,,,3.0,2.0,1.5,58.0,0.0,4.5,94.0,0.0,1.0,2.0,52.0,0.0,3.5,81.0,,,,,,,1.0,1.0,5.0,65.0,0.0,7.5,104.0
Garret Wallow,Inside Linebacker,TCU,Big 12,74.0,220.0,4.65,22.0,32.5,122.0,6.87,4.12,22.0,4,0,1,1,1,0,0,1.0,5.0,2.0,50.0,0.0,9.0,90.0,,,,12.0,1.0,0.0,12.0,,,,,,,,,2021,,,,,,,,1.0,2.0,3.5,77.0,0.0,18.0,125.0,2.0,3.0,3.0,45.0,0.0,5.5,71.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,7.0
K.J. Britt,Inside Linebacker,Auburn,SEC,73.0,235.0,4.76,24.0,32.5,118.0,7.38,4.4,22.0,4,0,1,1,1,0,0,0.0,0.0,0.0,9.0,0.0,1.0,23.0,,,,,,,,,,,,,,,,2021,,,,,,,,1.0,1.0,2.5,37.0,0.0,10.0,68.0,1.0,0.0,0.0,15.0,0.0,2.0,23.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Cameron McGrone,Inside Linebacker,Michigan,Big Ten,73.0,234.0,,,,,,,21.0,2,0,1,1,0,0,0,0.0,0.0,0.5,14.0,0.0,2.0,26.0,,,,,,,,,,,,,,,,2021,,,,,,,,1.0,5.0,3.5,38.0,0.0,9.0,65.0,,,,,,,,,,,,,,,,,,,,
Nick Niemann,Inside Linebacker,Iowa,Big Ten,75.0,234.0,4.45,,33.5,121.0,6.67,4.14,23.0,4,0,0,1,1,1,0,0.0,0.0,0.0,37.0,0.0,2.5,77.0,0.0,0.0,1.0,25.0,1.0,1.0,25.0,,,,,,,,,2021,,,,,,,,0.0,2.0,1.0,15.0,1.0,2.5,32.0,0.0,1.0,1.0,18.0,0.0,2.5,43.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0
Isaiah McDuffie,Inside Linebacker,Boston College,ACC,73.0,227.0,,,,,,,22.0,4,1,1,1,1,0,0,0.0,4.0,3.0,54.0,0.0,6.5,107.0,0.0,0.0,1.0,,,,,23.0,1.0,0.0,23.0,,,,,2021,,,,,,,,0.0,3.0,2.0,24.0,0.0,3.5,30.0,2.0,2.0,3.5,48.0,0.0,5.5,86.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,8.0
Quay Walker,Inside Linebacker,Georgia,SEC,76.0,241.0,4.52,,32.0,122.0,,,22.0,4,0,1,1,1,0,0,2.0,3.0,1.5,39.0,0.0,5.5,63.0,0.0,0.0,1.0,,,,,,,,,,,,,2022,,,,,,,,0.0,0.0,1.0,26.0,0.0,2.0,43.0,0.0,1.0,2.5,12.0,0.0,3.5,23.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,6.0
Devin Lloyd,Inside Linebacker,Utah,Pac-12,75.0,237.0,4.66,25.0,35.0,126.0,,,23.0,4,0,0,1,1,1,0,6.0,2.0,8.0,66.0,2.0,22.0,111.0,0.0,0.0,2.0,,,,,9.0,4.0,2.0,36.0,64.0,1.0,1.0,64.0,2022,,,,,,,,0.0,1.0,2.0,26.0,0.0,8.0,37.0,2.0,0.0,6.5,48.0,1.0,11.0,91.0,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,6.0
Brian Asamoah,Inside Linebacker,Oklahoma,Big 12,72.0,226.0,4.56,,36.5,124.0,,,22.0,3,0,1,1,1,0,0,0.0,1.0,1.0,55.0,0.0,3.5,80.0,,,,29.0,1.0,0.0,29.0,,,,,,,,,2022,,,,,,,,4.0,5.0,2.0,39.0,0.0,5.5,66.0,1.0,1.0,2.0,11.0,0.0,3.5,23.0,,,,,,,,,,,,,
Chad Muma,Inside Linebacker,Wyoming,Mountain West,75.0,239.0,4.63,27.0,40.0,129.0,7.06,4.28,23.0,4,0,0,1,1,1,0,1.0,2.0,1.5,85.0,2.0,8.0,142.0,0.0,0.0,1.0,,,,,22.7,3.0,2.0,68.0,,,,,2022,,,,,0.0,0.0,1.0,1.0,0.0,3.0,33.0,0.0,8.0,71.0,1.0,1.0,1.0,28.0,0.0,3.0,51.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Christian Harris,Inside Linebacker,Alabama,SEC,73.0,226.0,4.44,,34.5,132.0,,,21.0,3,1,1,1,0,0,0,3.0,4.0,5.5,45.0,0.0,13.0,79.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,2022,,,,,,,,2.0,6.0,4.5,48.0,0.0,7.0,73.0,1.0,5.0,0.0,29.0,0.0,7.5,63.0,0.0,0.0,2.0,,,,,,,,,,
Nakobe Dean,Inside Linebacker,Georgia,SEC,71.0,229.0,,,,,,,21.0,3,1,1,1,0,0,0,6.0,5.0,6.0,36.0,1.0,10.5,72.0,,,,,,,,25.0,2.0,1.0,50.0,,,,,2022,,,,,,,,0.0,2.0,1.5,39.0,0.0,1.5,71.0,2.0,0.0,0.0,14.0,0.0,1.5,25.0,,,,,,,,,,,,,
Terrel Bernard,Inside Linebacker,Baylor,Big 12,73.0,224.0,,22.0,35.5,123.0,7.03,4.25,23.0,4,0,1,1,1,1,0,4.0,5.0,7.5,61.0,0.0,12.5,103.0,,,,0.0,1.0,0.0,0.0,,,,,20.0,1.0,0.0,20.0,2022,28.0,1.0,0.0,28.0,,,,2.0,1.0,3.5,34.0,0.0,6.5,55.0,2.0,5.0,4.5,53.0,1.0,9.5,112.0,0.0,0.0,2.0,,,,0.0,0.0,1.0,25.0,0.0,3.0,47.0
Channing Tindall,Inside Linebacker,Georgia,SEC,74.0,230.0,4.47,,42.0,129.0,,,22.0,4,1,1,1,1,0,0,0.0,2.0,5.5,35.0,0.0,7.5,67.0,,,,,,,,,,,,,,,,2022,,,,,,,,0.0,0.0,3.0,10.0,0.0,3.0,13.0,0.0,0.0,1.5,4.0,0.0,1.5,9.0,,,,,,,0.0,0.0,2.0,3.0,0.0,3.0,17.0
Leo Chenal,Inside Linebacker,Wisconsin,Big Ten,75.0,250.0,4.53,,40.5,128.0,,,21.0,3,1,1,1,0,0,0,0.0,4.0,8.0,55.0,0.0,18.0,96.0,,,,31.0,1.0,0.0,31.0,,,,,,,,,2022,,,,,,,,1.0,2.0,3.0,28.0,0.0,6.0,40.0,0.0,2.0,1.0,16.0,0.0,2.0,20.0,0.0,0.0,1.0,,,,,,,,,,
Brandon Smith,Inside Linebacker,Penn State,Big Ten,76.0,250.0,4.52,,37.5,128.0,,,21.0,3,1,1,1,0,0,0,5.0,3.0,2.0,45.0,0.0,9.0,81.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,2022,,,,,0.0,0.0,1.0,1.0,1.0,2.0,15.0,0.0,8.0,37.0,0.0,1.0,0.0,8.0,0.0,2.0,13.0,,,,,,,,,,,,,
Micah McFadden,Inside Linebacker,Indiana,Big Ten,73.0,240.0,,21.0,,,,,22.0,4,1,1,1,1,0,0,3.0,5.0,6.5,49.0,0.0,15.5,77.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,,,,,7.0,2.0,0.0,14.0,2022,,,,,,,,0.0,3.0,6.0,45.0,0.0,10.5,59.0,1.0,5.0,1.5,41.0,0.0,9.0,60.0,,,,,,,0.0,2.0,0.0,14.0,0.0,1.0,20.0
D'Marco Jackson,Inside Linebacker,App State,Sun Belt,73.0,233.0,4.55,,33.0,125.0,,,24.0,4,0,0,1,1,1,1,5.0,12.0,6.0,56.0,0.0,18.5,119.0,1.0,1.0,0.0,22.0,2.0,0.0,44.0,6.0,1.0,0.0,6.0,,,,,2022,,,,,0.0,0.0,1.0,6.0,4.0,2.5,36.0,0.0,6.5,86.0,2.0,1.0,3.0,31.0,1.0,6.5,60.0,,,,,,,1.0,1.0,0.0,9.0,0.0,2.0,24.0
Damone Clark,Inside Linebacker,LSU,SEC,75.0,239.0,4.57,,36.5,127.0,7.12,,22.0,4,0,1,1,1,0,0,3.0,2.0,5.5,78.0,0.0,15.0,136.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,,,,,2022,,,,,,,,1.0,3.0,1.0,26.0,0.0,4.0,63.0,0.0,0.0,3.5,17.0,0.0,4.0,49.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kyron Johnson,Inside Linebacker,Kansas,Big 12,,,,,,,,,24.0,4,0,0,1,1,1,1,1.0,10.0,6.5,41.0,0.0,8.5,63.0,0.0,0.0,2.0,,,,,,,,,,,,,2022,,,,,,,,1.0,1.0,3.0,27.0,0.0,4.5,42.0,1.0,3.0,1.0,36.0,0.0,5.5,55.0,,,,0.0,0.0,1.0,2.0,0.0,2.0,12.0,0.0,4.0,18.0
Darrian Beavers,Inside Linebacker,Cincinnati,American Athletic,76.0,237.0,,,36.5,125.0,6.91,,23.0,4,0,1,1,1,1,0,2.0,2.0,4.0,46.0,0.0,11.0,98.0,0.0,0.0,2.0,4.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,,,,,2022,,,,,,,,2.0,1.0,2.5,38.0,0.0,7.5,58.0,0.0,2.0,0.0,21.0,0.0,1.5,36.0,,,,,,,2.0,0.0,4.0,15.0,0.0,4.5,23.0
Malcolm Rodriguez,Inside Linebacker,Oklahoma State,Big 12,71.0,232.0,4.52,,39.5,120.0,,,23.0,4,0,1,1,1,1,0,4.0,10.0,3.0,76.0,0.0,16.0,129.0,0.0,0.0,3.0,,,,,11.0,1.0,0.0,11.0,26.0,1.0,1.0,26.0,2022,,,,,0.0,0.0,1.0,3.0,5.0,3.0,57.0,0.0,7.0,82.0,3.0,4.0,1.5,60.0,1.0,7.0,103.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,53.0,0.0,5.0,83.0
Devin Harper,Inside Linebacker,Oklahoma State,Big 12,,,,,,,,,24.0,4,0,0,1,1,1,1,1.0,15.0,6.0,60.0,0.0,11.0,95.0,0.0,0.0,2.0,-9.0,1.0,0.0,-9.0,,,,,,,,,2022,24.0,1.0,1.0,24.0,,,,1.0,3.0,2.0,24.0,0.0,5.5,37.0,0.0,1.0,3.0,20.0,0.0,5.0,34.0,,,,,,,1.0,3.0,2.5,32.0,1.0,5.0,44.0
Chance Campbell,Inside Linebacker,Ole Miss,SEC,74.0,232.0,4.57,,39.5,127.0,,,22.0,4,1,1,1,1,0,0,2.0,11.0,6.0,47.0,0.0,12.5,109.0,0.0,0.0,3.0,,,,,,,,,0.0,1.0,0.0,0.0,2022,,,,,0.0,0.0,2.0,0.0,0.0,1.5,23.0,1.0,5.5,42.0,3.0,0.0,0.0,37.0,0.0,4.5,54.0,,,,,,,0.0,0.0,0.0,5.0,0.0,0.0,10.0
Tariq Carpenter,Inside Linebacker,Georgia Tech,ACC,,,,,,,,,23.0,4,0,1,1,1,1,0,2.0,0.0,0.0,40.0,0.0,1.0,65.0,,,,43.0,1.0,0.0,43.0,,,,,0.0,1.0,0.0,0.0,2022,3.0,2.0,0.0,6.0,,,,5.0,0.0,0.0,29.0,0.0,2.5,39.0,5.0,0.0,0.0,48.0,0.0,2.0,62.0,,,,,,,5.0,0.0,0.0,35.0,0.0,1.5,55.0
Baylon Spector,Inside Linebacker,Clemson,ACC,73.0,233.0,4.6,,36.0,122.0,,,23.0,4,0,1,1,1,1,0,1.0,3.0,2.5,36.0,0.0,4.5,74.0,0.0,0.0,1.0,,,,,3.0,1.0,0.0,3.0,,,,,2022,,,,,0.0,0.0,1.0,1.0,3.0,4.5,34.0,0.0,10.5,64.0,0.0,0.0,2.0,22.0,0.0,6.5,43.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,9.0
