name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Leonard Fournette,Running Back,LSU,SEC,73.0,240.0,4.51,,28.5,,,,22.0,3,0,1,1,1,0,0,3.0,2.0,0.0,38.0,15.0,0.0,146.0,9.7,129.0,78.0,8.0,843.0,6.5,46.0,19.0,1.0,253.0,13.3,300.0,87.0,22.0,1953.0,6.5,40.0,7.0,0.0,127.0,18.1,187.0,89.0,10.0,1034.0,5.5,,,,,,,,,,,2017,,,,,,,,,
Christian McCaffrey,Running Back,Stanford,Pac-12,71.0,202.0,4.48,10.0,37.5,121.0,6.57,4.22,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,56.0,37.0,3.0,310.0,8.4,253.0,90.0,13.0,1603.0,6.3,75.0,45.0,5.0,645.0,14.3,337.0,70.0,8.0,2019.0,6.0,52.0,17.0,2.0,251.0,14.8,42.0,37.0,0.0,300.0,7.1,,,,,,,,,,,2017,,,,,,,,,
Dalvin Cook,Running Back,Florida State,ACC,70.0,210.0,4.49,22.0,30.5,116.0,7.27,4.53,22.0,3,0,1,1,1,0,0,6.0,4.0,0.0,59.0,33.0,1.0,488.0,14.8,288.0,75.0,19.0,1765.0,6.1,36.0,24.0,1.0,244.0,10.2,229.0,94.0,19.0,1691.0,7.4,30.0,22.0,0.0,203.0,9.2,170.0,44.0,8.0,1008.0,5.9,,,,,,,,,,,2017,,,,,,,,,
Joe Mixon,Running Back,Oklahoma,Big 12,73.0,228.0,,,,,,,21.0,2,0,1,1,0,0,0,5.0,2.0,0.0,60.0,37.0,5.0,538.0,14.5,187.0,79.0,10.0,1274.0,6.8,76.0,28.0,4.0,356.0,12.7,113.0,66.0,7.0,753.0,6.7,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Alvin Kamara,Running Back,Tennessee,SEC,70.0,214.0,4.56,15.0,39.5,131.0,,,22.0,2,0,0,1,1,0,0,5.0,2.0,0.0,53.0,40.0,4.0,392.0,9.8,103.0,39.0,9.0,596.0,5.8,35.0,34.0,3.0,291.0,8.6,107.0,63.0,7.0,698.0,6.5,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Kareem Hunt,Running Back,Toledo,Mid-American,71.0,216.0,4.62,18.0,36.5,119.0,,,22.0,4,1,1,1,1,0,0,,,,71.0,41.0,1.0,403.0,9.8,262.0,47.0,10.0,1475.0,5.6,9.0,11.0,0.0,45.0,4.1,178.0,41.0,12.0,973.0,5.5,10.0,9.0,0.0,39.0,4.3,205.0,91.0,16.0,1631.0,8.0,15.0,12.0,0.0,68.0,5.7,137.0,52.0,6.0,866.0,6.3,2017,,,,,,,,,
D'Onta Foreman,Running Back,Texas,Big 12,72.0,233.0,,18.0,,,,,21.0,3,1,1,1,0,0,0,6.0,6.0,0.0,21.0,7.0,0.0,75.0,10.7,323.0,74.0,15.0,2028.0,6.3,22.0,5.0,0.0,64.0,12.8,95.0,93.0,5.0,681.0,7.2,7.0,1.0,0.0,7.0,7.0,16.0,34.0,0.0,74.0,4.6,,,,,,,,,,,2017,,,,,,,,,
James Conner,Running Back,Pittsburgh,ACC,74.0,233.0,4.65,20.0,29.0,113.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,55.0,21.0,4.0,302.0,14.4,216.0,40.0,16.0,1092.0,5.1,7.0,1.0,0.0,7.0,7.0,8.0,40.0,2.0,77.0,9.6,40.0,5.0,0.0,70.0,14.0,298.0,75.0,26.0,1765.0,5.9,13.0,3.0,0.0,33.0,11.0,146.0,45.0,8.0,799.0,5.5,2017,,,,,,,,,
Samaje Perine,Running Back,Oklahoma,Big 12,71.0,233.0,4.65,30.0,33.0,116.0,7.26,4.37,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,29.0,10.0,1.0,106.0,10.6,196.0,66.0,12.0,1060.0,5.4,20.0,15.0,1.0,107.0,7.1,226.0,72.0,16.0,1349.0,6.0,19.0,15.0,0.0,108.0,7.2,263.0,66.0,21.0,1713.0,6.5,,,,,,,,,,,2017,,,,,,,,,
Joe Williams,Running Back,Utah,Pac-12,71.0,210.0,4.41,14.0,35.0,125.0,7.19,4.19,24.0,2,0,0,0,0,1,1,5.0,5.0,0.0,56.0,9.0,0.0,107.0,11.9,210.0,82.0,10.0,1407.0,6.7,16.0,11.0,0.0,84.0,7.6,104.0,64.0,3.0,477.0,4.6,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Donnel Pumphrey,Running Back,San Diego State,Mountain West,68.0,176.0,4.48,5.0,33.5,117.0,,,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,27.0,27.0,0.0,231.0,8.6,349.0,79.0,17.0,2133.0,6.1,40.0,28.0,3.0,416.0,14.9,309.0,72.0,17.0,1653.0,5.3,31.0,23.0,0.0,160.0,7.0,276.0,93.0,20.0,1867.0,6.8,23.0,22.0,2.0,234.0,10.6,125.0,72.0,8.0,752.0,6.0,2017,,,,,,,,,
Jamaal Williams,Running Back,BYU,FBS Independents,72.0,212.0,4.59,,30.0,123.0,7.25,4.53,22.0,4,1,1,1,1,0,0,2.0,2.0,0.0,39.0,7.0,0.0,80.0,11.4,234.0,62.0,12.0,1375.0,5.9,,,,,,,,,,,28.0,8.0,0.0,47.0,5.9,109.0,31.0,4.0,518.0,4.8,15.0,18.0,0.0,125.0,6.9,217.0,70.0,7.0,1233.0,5.7,2017,,,,,,,,,
Wayne Gallman,Running Back,Clemson,ACC,73.0,215.0,4.6,21.0,29.5,120.0,7.17,4.28,22.0,3,0,1,1,1,0,0,2.0,2.0,0.0,18.0,20.0,0.0,152.0,7.6,232.0,59.0,17.0,1133.0,4.9,39.0,21.0,1.0,213.0,10.1,283.0,66.0,13.0,1527.0,5.4,18.0,24.0,1.0,108.0,4.5,161.0,34.0,4.0,769.0,4.8,,,,,,,,,,,2017,,,,,,,,,
Marlon Mack,Running Back,South Florida,American Athletic,71.0,213.0,4.5,15.0,35.5,125.0,,,21.0,3,1,1,1,0,0,0,4.0,3.0,0.0,37.0,28.0,0.0,227.0,8.1,174.0,85.0,15.0,1187.0,6.8,20.0,16.0,1.0,111.0,6.9,210.0,59.0,8.0,1381.0,6.6,19.0,21.0,0.0,160.0,7.6,202.0,75.0,9.0,1041.0,5.2,,,,,,,,,,,2017,,,,,,,,,
Brian Hill,Running Back,Wyoming,Mountain West,73.0,219.0,4.54,15.0,34.0,125.0,7.03,4.32,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,19.0,8.0,0.0,67.0,8.4,349.0,66.0,22.0,1860.0,5.3,21.0,20.0,0.0,132.0,6.6,281.0,72.0,6.0,1631.0,5.8,40.0,13.0,0.0,204.0,15.7,145.0,89.0,7.0,796.0,5.5,,,,,,,,,,,2017,,,,,,,,,
Jeremy McNichols,Running Back,Boise State,Mountain West,69.0,214.0,4.49,,35.5,121.0,6.93,4.28,21.0,3,1,1,1,0,0,0,5.0,2.0,0.0,76.0,37.0,4.0,474.0,12.8,314.0,80.0,23.0,1709.0,5.4,40.0,51.0,6.0,460.0,9.0,240.0,88.0,20.0,1337.0,5.6,41.0,15.0,1.0,155.0,10.3,17.0,28.0,1.0,159.0,9.4,,,,,,,,,,,2017,,,,,,,,,
T.J. Logan,Running Back,North Carolina,ACC,70.0,196.0,4.37,17.0,33.5,121.0,,,23.0,4,0,1,1,1,1,0,2.0,1.0,0.0,46.0,29.0,3.0,244.0,8.4,120.0,35.0,7.0,650.0,5.4,49.0,11.0,1.0,151.0,13.7,66.0,42.0,5.0,400.0,6.1,22.0,26.0,0.0,144.0,5.5,119.0,47.0,3.0,582.0,4.9,35.0,10.0,0.0,124.0,12.4,93.0,63.0,4.0,533.0,5.7,2017,,,,,,,,,
Aaron Jones,Running Back,UTEP,Conference USA,70.0,208.0,4.56,16.0,37.5,127.0,6.82,4.2,22.0,4,1,1,1,1,0,0,3.0,0.0,0.0,42.0,28.0,3.0,233.0,8.3,229.0,83.0,17.0,1773.0,7.7,36.0,9.0,1.0,106.0,11.8,32.0,91.0,1.0,209.0,6.5,72.0,30.0,3.0,293.0,9.8,242.0,73.0,11.0,1321.0,5.5,6.0,4.0,0.0,14.0,3.5,155.0,81.0,4.0,811.0,5.2,2017,,,,,,,,,
Elijah McGuire,Running Back,Louisiana,Sun Belt,70.0,214.0,4.53,15.0,36.0,120.0,7.26,4.56,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,28.0,29.0,2.0,238.0,8.2,232.0,68.0,7.0,1127.0,4.9,49.0,33.0,3.0,293.0,8.9,210.0,88.0,13.0,1058.0,5.0,62.0,45.0,2.0,468.0,10.4,166.0,75.0,14.0,1264.0,7.6,80.0,22.0,3.0,384.0,17.5,103.0,70.0,8.0,863.0,8.4,2017,,,,,,,,,
Devante Mays,Running Back,Utah State,Mountain West,70.0,230.0,,,,,,,23.0,2,0,0,0,1,1,0,,,,8.0,1.0,0.0,8.0,8.0,37.0,66.0,3.0,259.0,7.0,9.0,1.0,0.0,9.0,9.0,165.0,61.0,9.0,966.0,5.9,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Elijah Hood,Running Back,North Carolina,ACC,71.0,232.0,,18.0,,,,,21.0,3,1,1,1,0,0,0,2.0,2.0,0.0,31.0,25.0,0.0,142.0,5.7,145.0,62.0,8.0,858.0,5.9,14.0,13.0,0.0,71.0,5.5,219.0,67.0,17.0,1463.0,6.7,1.0,2.0,0.0,-2.0,-1.0,67.0,23.0,4.0,259.0,3.9,,,,,,,,,,,2017,,,,,,,,,
Christopher Carson,Running Back,Oklahoma State,Big 12,72.0,218.0,,,,,,,22.0,2,0,0,1,1,0,0,1.0,0.0,0.0,18.0,13.0,1.0,128.0,9.8,82.0,26.0,9.0,559.0,6.8,28.0,17.0,0.0,170.0,10.0,131.0,26.0,4.0,517.0,3.9,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Matthew Dayes,Running Back,NC State,ACC,69.0,205.0,4.47,18.0,28.0,109.0,,,23.0,4,0,1,1,1,1,0,3.0,3.0,0.0,38.0,32.0,0.0,267.0,8.3,249.0,54.0,10.0,1166.0,4.7,26.0,24.0,0.0,172.0,7.2,134.0,85.0,12.0,865.0,6.5,39.0,32.0,5.0,321.0,10.0,104.0,68.0,8.0,573.0,5.5,61.0,10.0,1.0,173.0,17.3,63.0,42.0,4.0,252.0,4.0,2017,,,,,,,,,
Saquon Barkley,Running Back,Penn State,Big Ten,72.0,233.0,4.4,29.0,41.0,,,4.24,21.0,3,1,1,1,0,0,0,,,,85.0,54.0,3.0,632.0,11.7,217.0,92.0,18.0,1271.0,5.9,44.0,28.0,4.0,402.0,14.4,272.0,81.0,18.0,1496.0,5.5,32.0,20.0,1.0,161.0,8.1,182.0,56.0,7.0,1076.0,5.9,,,,,,,,,,,2018,2.0,2.0,0.0,,,,,,
Rashaad Penny,Running Back,San Diego State,Mountain West,71.0,220.0,4.46,13.0,32.5,120.0,,,22.0,4,1,1,1,1,0,0,3.0,2.0,0.0,33.0,19.0,2.0,135.0,7.1,289.0,95.0,23.0,2248.0,7.8,41.0,15.0,3.0,224.0,14.9,135.0,73.0,11.0,1005.0,7.4,33.0,8.0,1.0,120.0,15.0,61.0,55.0,4.0,368.0,6.0,,,,,,2.0,21.0,0.0,22.0,11.0,2018,2.0,2.0,0.0,,,,,,
Sony Michel,Running Back,Georgia,SEC,71.0,214.0,4.54,22.0,,,,4.21,23.0,4,0,1,1,1,1,0,2.0,1.0,0.0,32.0,9.0,1.0,96.0,10.7,156.0,75.0,16.0,1227.0,7.9,33.0,22.0,1.0,149.0,6.8,152.0,42.0,4.0,840.0,5.5,48.0,26.0,3.0,270.0,10.4,219.0,66.0,8.0,1161.0,5.3,33.0,7.0,1.0,106.0,15.1,64.0,75.0,5.0,410.0,6.4,2018,3.0,1.0,0.0,,,,,,
Nick Chubb,Running Back,Georgia,SEC,71.0,227.0,4.52,29.0,38.5,128.0,7.09,4.25,22.0,4,1,1,1,1,0,0,,,,11.0,4.0,0.0,30.0,7.5,223.0,55.0,15.0,1345.0,6.0,49.0,5.0,1.0,86.0,17.2,224.0,55.0,8.0,1130.0,5.0,24.0,4.0,1.0,32.0,8.0,92.0,83.0,7.0,747.0,8.1,27.0,18.0,2.0,213.0,11.8,219.0,83.0,14.0,1547.0,7.1,2018,3.0,3.0,0.0,,,,,,
Ronald Jones II,Running Back,USC,Pac-12,71.0,205.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,56.0,14.0,1.0,187.0,13.4,261.0,86.0,19.0,1550.0,5.9,16.0,11.0,1.0,76.0,6.9,177.0,66.0,12.0,1082.0,6.1,15.0,7.0,1.0,39.0,5.6,153.0,74.0,8.0,987.0,6.5,,,,,,,,,,,2018,1.0,1.0,0.0,,,,,,
Kerryon Johnson,Running Back,Auburn,SEC,72.0,213.0,,11.0,40.0,126.0,7.07,4.29,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,55.0,24.0,2.0,194.0,8.1,285.0,60.0,18.0,1391.0,4.9,37.0,17.0,0.0,125.0,7.4,182.0,47.0,11.0,895.0,4.9,37.0,14.0,0.0,159.0,11.4,52.0,19.0,3.0,208.0,4.0,,,,,,,,,,,2018,2.0,1.0,0.0,,,,,,
Derrius Guice,Running Back,LSU,SEC,71.0,224.0,4.49,15.0,31.5,,,,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,20.0,18.0,2.0,124.0,6.9,237.0,59.0,11.0,1251.0,5.3,29.0,9.0,1.0,106.0,11.8,183.0,96.0,15.0,1387.0,7.6,10.0,5.0,0.0,20.0,4.0,51.0,50.0,3.0,436.0,8.5,,,,,,,,,,,2018,3.0,2.0,0.0,,,,,,
Royce Freeman,Running Back,Oregon,Pac-12,72.0,229.0,4.54,17.0,34.0,118.0,6.9,4.16,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,50.0,14.0,0.0,164.0,11.7,244.0,59.0,16.0,1475.0,6.0,24.0,23.0,1.0,144.0,6.3,168.0,85.0,9.0,945.0,5.6,36.0,26.0,2.0,348.0,13.4,283.0,64.0,17.0,1836.0,6.5,30.0,16.0,1.0,158.0,9.9,252.0,38.0,18.0,1365.0,5.4,2018,4.0,2.0,0.0,,,,,,
Nyheim Hines,Running Back,NC State,ACC,68.0,198.0,4.38,,35.5,119.0,7.18,4.35,21.0,3,1,1,1,0,0,0,4.0,1.0,0.0,28.0,26.0,0.0,152.0,5.8,197.0,83.0,12.0,1112.0,5.6,56.0,43.0,0.0,525.0,12.2,13.0,14.0,0.0,44.0,3.4,58.0,20.0,1.0,256.0,12.8,48.0,38.0,1.0,243.0,5.1,,,,,,,,,,,2018,3.0,2.0,0.0,,,,,,
Mark Walton,Running Back,Miami,ACC,70.0,202.0,4.6,18.0,31.5,118.0,,,21.0,3,1,1,1,0,0,0,,,,39.0,7.0,0.0,91.0,13.0,56.0,82.0,3.0,428.0,7.6,30.0,27.0,1.0,240.0,8.9,209.0,80.0,14.0,1117.0,5.3,41.0,22.0,1.0,293.0,13.3,129.0,27.0,9.0,450.0,3.5,,,,,,,,,,,2018,,,,,,,,,
Ito Smith,Running Back,Southern Miss,Conference USA,69.0,198.0,,,,,,,22.0,4,1,1,1,1,0,0,3.0,3.0,0.0,84.0,40.0,2.0,396.0,9.9,248.0,89.0,13.0,1413.0,5.7,54.0,43.0,2.0,459.0,10.7,265.0,86.0,17.0,1459.0,5.5,49.0,49.0,3.0,515.0,10.5,171.0,75.0,10.0,1128.0,6.6,27.0,8.0,0.0,76.0,9.5,136.0,38.0,2.0,536.0,3.9,2018,3.0,2.0,0.0,,,,,,
Kalen Ballage,Running Back,Arizona State,Pac-12,74.0,228.0,4.46,15.0,33.5,122.0,6.91,4.35,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,10.0,20.0,0.0,91.0,4.6,157.0,35.0,6.0,669.0,4.3,71.0,44.0,1.0,469.0,10.7,126.0,75.0,14.0,536.0,4.3,16.0,12.0,0.0,60.0,5.0,125.0,65.0,4.0,653.0,5.2,38.0,6.0,1.0,64.0,10.7,42.0,12.0,3.0,126.0,3.0,2018,3.0,2.0,0.0,,,,,,
Jordan Wilkins,Running Back,Ole Miss,SEC,73.0,216.0,,16.0,36.0,117.0,,4.27,24.0,4,0,0,1,1,1,1,1.0,1.0,0.0,25.0,26.0,1.0,241.0,9.3,155.0,64.0,9.0,1011.0,6.5,,,,,,,,,,,45.0,5.0,0.0,75.0,15.0,72.0,38.0,4.0,379.0,5.3,6.0,1.0,0.0,6.0,6.0,52.0,73.0,1.0,361.0,6.9,2018,,,,,,,,,
John Kelly,Running Back,Tennessee,SEC,70.0,216.0,,15.0,35.0,120.0,7.13,4.51,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,52.0,37.0,0.0,299.0,8.1,189.0,38.0,9.0,778.0,4.1,17.0,6.0,0.0,51.0,8.5,98.0,73.0,5.0,630.0,6.4,,,,,,40.0,22.0,1.0,165.0,4.1,,,,,,,,,,,2018,2.0,2.0,0.0,,,,,,
Boston Scott,Running Back,Louisiana Tech,Conference USA,67.0,197.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,32.0,20.0,1.0,181.0,9.1,182.0,45.0,8.0,1040.0,5.7,22.0,11.0,0.0,125.0,11.4,70.0,71.0,6.0,515.0,7.4,1.0,1.0,0.0,1.0,1.0,34.0,77.0,0.0,275.0,8.1,,,,,,1.0,3.0,0.0,3.0,3.0,2018,1.0,0.0,0.0,,,,,,
