name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Richie Grant,Safety,UCF,American Athletic,72.0,197.0,4.49,12.0,34.5,129.0,6.78,4.27,23.0,4,0,1,1,1,1,0,5.0,1.0,1.0,49.0,0.0,3.5,72.0,0.0,0.0,2.0,39.0,1.0,1.0,39.0,8.3,3.0,0.0,25.0,6.5,6.0,0.0,39.0,,,,,2021,,,,7.0,0.0,0.0,45.0,1.0,3.0,72.0,3.0,0.0,0.0,68.0,0.0,3.0,108.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,1.0,32.0
Trevon Moehrig,Safety,TCU,Big 12,73.0,202.0,4.5,,33.0,,,4.19,22.0,3,0,1,1,1,0,0,9.0,0.0,0.0,30.0,0.0,2.0,47.0,1.0,1.0,0.0,17.5,4.0,0.0,70.0,0.0,2.0,0.0,0.0,20.0,1.0,0.0,20.0,,,,,2021,1.0,0.0,1.0,11.0,0.0,0.0,43.0,0.0,1.5,62.0,1.0,0.0,0.0,11.0,0.0,1.0,14.0,,,,,,,,,,,,,
Andre Cisco,Safety,Syracuse,ACC,73.0,216.0,,17.0,,,,,21.0,3,1,1,1,0,0,0,0.0,0.0,0.0,7.0,0.0,0.5,11.0,,,,13.4,5.0,1.0,67.0,29.0,1.0,0.0,29.0,6.7,7.0,0.0,47.0,,,,,2021,,,,5.0,0.0,0.0,41.0,1.0,0.5,65.0,7.0,0.0,0.0,35.0,0.0,0.0,45.0,,,,,,,,,,,,,
Divine Deablo,Safety,Virginia Tech,ACC,75.0,226.0,4.42,19.0,34.0,126.0,7.12,4.4,23.0,4,0,1,1,1,1,0,4.0,1.0,0.0,32.0,0.0,2.0,55.0,,,,0.0,1.0,0.0,0.0,1.3,4.0,0.0,5.0,,,,,0.0,1.0,0.0,0.0,2021,0.0,0.0,1.0,2.0,1.0,0.0,42.0,1.0,4.5,84.0,2.0,0.0,0.0,35.0,0.0,4.5,54.0,0.0,0.0,1.0,,,,3.0,0.0,0.5,6.0,0.0,1.5,8.0
Tyree Gillespie,Safety,Missouri,SEC,72.0,207.0,4.38,15.0,,,7.06,,23.0,4,0,0,1,1,1,0,4.0,1.0,0.0,29.0,0.0,0.5,46.0,,,,,,,,,,,,,,,,,,,,2021,,,,7.0,1.0,1.0,34.0,0.0,4.0,50.0,1.0,2.0,1.0,37.0,0.0,1.5,48.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jamien Sherwood,Safety,Auburn,SEC,74.0,216.0,4.76,15.0,36.0,123.0,7.15,4.36,21.0,3,1,1,1,0,0,0,3.0,1.0,1.0,44.0,0.0,3.0,75.0,0.0,0.0,3.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,,2021,0.0,0.0,1.0,5.0,1.0,0.0,21.0,0.0,4.0,43.0,3.0,1.0,1.5,12.0,0.0,1.5,23.0,,,,,,,,,,,,,
Caden Sterns,Safety,Texas,Big 12,72.0,202.0,4.41,14.0,42.0,128.0,6.96,4.13,21.0,3,1,1,1,0,0,0,3.0,0.0,0.0,30.0,0.0,1.5,52.0,,,,,,,,0.0,1.0,0.0,0.0,8.3,4.0,0.0,33.0,,,,,2021,,,,1.0,0.0,1.0,42.0,0.0,4.0,57.0,4.0,0.0,1.0,46.0,0.0,3.0,62.0,,,,,,,,,,,,,
Michael Carter II,Safety,Duke,ACC,70.0,184.0,,,,,,,22.0,4,1,1,1,1,0,0,8.0,0.0,0.0,28.0,0.0,3.0,41.0,,,,0.0,1.0,0.0,0.0,16.5,2.0,0.0,33.0,5.0,1.0,0.0,5.0,,,,,2021,,,,7.0,0.0,0.5,30.0,0.0,2.0,53.0,6.0,0.0,0.0,18.0,0.0,0.0,23.0,0.0,0.0,1.0,,,,2.0,1.0,1.0,12.0,0.0,2.5,18.0
Darrick Forrest,Safety,Cincinnati,American Athletic,72.0,206.0,4.42,21.0,39.0,132.0,6.91,4.23,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,31.0,0.0,1.0,40.0,,,,17.0,3.0,0.0,51.0,11.0,2.0,0.0,22.0,23.0,1.0,0.0,23.0,,,,,2021,,,,3.0,0.0,0.0,63.0,0.0,3.5,106.0,2.0,0.0,0.0,29.0,0.0,0.0,49.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0
Jamar Johnson,Safety,Indiana,Big Ten,72.0,205.0,4.58,17.0,35.0,122.0,7.22,4.41,21.0,3,1,1,1,0,0,0,4.0,0.0,1.0,32.0,0.0,3.5,42.0,1.0,1.0,0.0,36.0,2.0,1.0,72.0,23.5,4.0,0.0,94.0,0.0,1.0,0.0,0.0,,,,,2021,,,,0.0,1.0,3.0,18.0,1.0,4.5,25.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,
Shawn Davis,Safety,Florida,SEC,71.0,202.0,,17.0,39.5,128.0,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,25.0,0.0,2.0,42.0,,,,37.0,3.0,0.0,111.0,22.5,2.0,0.0,45.0,,,,,,,,,2021,,,,3.0,1.0,0.0,33.0,0.0,1.0,51.0,5.0,0.0,0.0,16.0,0.0,2.0,22.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,11.0
Richard LeCounte,Safety,Georgia,SEC,71.0,196.0,4.79,,32.5,128.0,7.44,4.49,22.0,4,1,1,1,1,0,0,4.0,0.0,0.0,16.0,0.0,1.0,26.0,0.0,0.0,1.0,19.0,4.0,0.0,76.0,12.7,3.0,0.0,38.0,29.0,1.0,0.0,29.0,,,,,2021,0.0,0.0,3.0,3.0,0.0,0.0,35.0,0.0,4.5,61.0,3.0,0.0,0.0,45.0,0.0,1.0,74.0,0.0,0.0,2.0,,,,0.0,0.0,0.0,10.0,0.0,0.0,15.0
Talanoa Hufanga,Safety,USC,Pac-12,72.0,199.0,4.65,,,,,,22.0,3,0,1,1,1,0,0,1.0,0.0,3.0,40.0,0.0,5.5,62.0,,,,,,,,23.8,4.0,0.0,95.0,,,,,,,,,2021,,,,3.0,0.0,3.5,58.0,0.0,7.5,90.0,4.0,0.0,0.0,31.0,0.0,3.5,51.0,,,,,,,,,,,,,
Hamsah Nasirildeen,Safety,Florida State,ACC,75.0,215.0,,17.0,32.0,,7.05,4.31,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,5.0,0.0,1.5,13.0,,,,40.0,2.0,1.0,80.0,25.0,1.0,0.0,25.0,1.0,1.0,0.0,1.0,,,,,2021,0.0,0.0,1.0,3.0,1.0,1.0,61.0,1.0,2.0,101.0,2.0,1.0,0.0,51.0,0.0,0.5,91.0,,,,,,,3.0,0.0,0.0,23.0,0.0,0.0,29.0
Joshuah Bledsoe,Safety,Missouri,SEC,71.0,204.0,,,,,,,22.0,4,1,1,1,1,0,0,6.0,0.0,0.0,24.0,0.0,2.5,41.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2021,0.0,0.0,1.0,10.0,0.0,0.0,35.0,0.0,4.0,49.0,2.0,0.0,0.0,17.0,0.0,0.0,25.0,,,,,,,0.0,0.0,1.0,9.0,0.0,1.0,13.0
Damar Hamlin,Safety,Pittsburgh,ACC,73.0,200.0,4.6,18.0,35.0,118.0,6.93,4.4,23.0,4,0,1,1,1,1,0,7.0,0.0,0.0,38.0,0.0,3.5,66.0,,,,14.0,1.0,0.0,14.0,2.0,2.0,0.0,4.0,39.5,2.0,0.0,79.0,5.0,1.0,0.0,5.0,2021,,,,10.0,0.0,0.0,60.0,0.0,2.5,84.0,4.0,0.0,0.0,58.0,0.0,3.0,85.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,30.0,0.0,1.0,41.0
Brady Breeze,Safety,Oregon,Pac-12,72.0,197.0,4.55,20.0,38.0,120.0,7.05,4.22,23.0,4,0,1,1,1,1,0,,,,,,,,,,,16.0,2.0,1.0,32.0,,,,,,,,,0.0,1.0,0.0,0.0,2021,0.0,0.0,5.0,3.0,0.0,0.0,43.0,3.0,0.0,62.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,,,,,,,1.0,1.0,0.0,12.0,0.0,0.0,20.0
JaCoby Stevens,Safety,LSU,SEC,73.0,212.0,,,,,,,23.0,3,0,0,1,1,1,0,4.0,2.0,3.0,30.0,0.0,6.0,63.0,0.0,0.0,3.0,3.0,3.0,0.0,9.0,,,,,1.0,1.0,0.0,1.0,,,,,2021,,,,6.0,2.0,5.0,53.0,0.0,9.0,92.0,4.0,1.0,1.0,16.0,0.0,6.0,29.0,0.0,0.0,1.0,,,,,,,,,,
Mark Webb,Safety,Georgia,SEC,74.0,207.0,4.61,,36.5,136.0,7.3,4.52,22.0,4,0,1,1,1,0,0,2.0,0.0,0.0,10.0,0.0,0.0,21.0,,,,,,,,13.0,1.0,0.0,13.0,,,,,,,,,2021,,,,3.0,0.0,0.0,31.0,0.0,3.0,46.0,3.0,0.0,0.0,8.0,0.0,0.0,14.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
James Wiggins,Safety,Cincinnati,American Athletic,71.0,209.0,4.4,22.0,38.0,127.0,,,24.0,4,0,0,0,1,1,1,6.0,0.0,1.0,25.0,0.0,1.0,32.0,,,,,,,,0.0,1.0,0.0,0.0,-1.0,3.0,0.0,-3.0,,,,,2021,,,,,,,,,,,5.0,0.0,0.0,35.0,1.0,2.0,51.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Kyle Hamilton,Safety,Notre Dame,FBS Independents,76.0,220.0,4.59,,38.0,131.0,6.9,4.32,21.0,3,1,1,1,0,0,0,4.0,0.0,0.0,19.0,0.0,2.0,34.0,,,,14.0,1.0,0.0,14.0,0.0,3.0,0.0,0.0,16.5,4.0,1.0,66.0,,,,,2022,,,,7.0,2.0,0.0,51.0,0.0,4.5,63.0,6.0,0.0,0.0,27.0,1.0,1.0,41.0,,,,,,,,,,,,,
Daxton Hill,Safety,Michigan,Big Ten,72.0,191.0,4.38,,33.5,121.0,6.57,4.06,21.0,3,1,1,1,0,0,0,8.0,4.0,0.5,42.0,0.0,4.5,69.0,0.0,0.0,1.0,,,,,1.5,2.0,0.0,3.0,0.0,1.0,0.0,0.0,,,,,2022,,,,4.0,0.0,0.0,24.0,0.0,0.0,38.0,3.0,0.0,0.0,25.0,0.0,3.0,36.0,0.0,0.0,2.0,,,,,,,,,,
Lewis Cine,Safety,Georgia,SEC,74.0,199.0,4.37,,36.5,133.0,,,22.0,3,0,1,1,1,0,0,9.0,1.0,0.0,43.0,0.0,2.0,73.0,,,,,,,,8.0,1.0,0.0,8.0,15.0,1.0,0.0,15.0,,,,,2022,,,,3.0,0.0,0.0,38.0,0.0,1.0,52.0,2.0,0.0,0.0,14.0,0.0,0.5,19.0,,,,,,,,,,,,,
Jalen Pitre,Safety,Baylor,Big 12,71.0,198.0,,16.0,35.0,,6.74,4.18,23.0,4,0,1,1,1,1,0,7.0,3.0,3.5,56.0,0.0,18.5,75.0,0.0,0.0,2.0,28.0,2.0,2.0,56.0,10.0,2.0,0.0,20.0,,,,,,,,,2022,,,,2.0,1.0,2.5,41.0,2.0,13.0,60.0,0.0,0.0,1.0,9.0,0.0,1.5,12.0,,,,,,,0.0,0.0,0.0,5.0,0.0,2.0,10.0
Jaquan Brisker,Safety,Penn State,Big Ten,73.0,199.0,4.49,22.0,34.5,124.0,,,23.0,3,0,0,1,1,1,0,5.0,1.0,0.0,38.0,0.0,6.0,63.0,0.0,0.0,1.0,18.0,1.0,0.0,18.0,19.5,2.0,0.0,39.0,16.5,2.0,0.0,33.0,,,,,2022,1.0,1.0,0.0,4.0,2.0,0.0,33.0,0.0,3.0,57.0,4.0,1.0,0.0,14.0,0.0,1.0,31.0,,,,,,,,,,,,,
Cam Taylor-Britt,Safety,Nebraska,Big Ten,71.0,196.0,4.38,,,,,,22.0,4,1,1,1,1,0,0,11.0,0.0,1.0,35.0,0.0,3.0,51.0,1.0,1.0,0.0,27.5,2.0,0.0,55.0,0.0,1.0,0.0,0.0,31.7,3.0,1.0,95.0,,,,,2022,1.0,1.0,0.0,4.0,0.0,0.0,23.0,0.0,3.0,28.0,3.0,0.0,1.5,29.0,1.0,4.0,49.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,0.0,0.0,12.0
Bryan Cook,Safety,Cincinnati,American Athletic,73.0,206.0,,,,,,,23.0,3,0,0,0,1,1,0,9.0,0.0,1.0,57.0,0.0,5.0,96.0,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,2022,,,,2.0,0.0,0.0,19.0,0.0,1.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,
JT Woods,Safety,Baylor,Big 12,74.0,195.0,4.36,,39.5,128.0,,,22.0,4,1,1,1,1,0,0,2.0,0.0,0.0,44.0,1.0,4.5,57.0,0.0,0.0,1.0,30.7,3.0,0.0,92.0,18.2,6.0,1.0,109.0,,,,,,,,,2022,,,,1.0,0.0,0.0,29.0,0.0,0.5,46.0,0.0,1.0,0.0,27.0,0.0,1.0,36.0,0.0,0.0,3.0,,,,2.0,0.0,1.0,12.0,0.0,1.0,17.0
Nick Cross,Safety,Maryland,Big Ten,72.0,212.0,4.34,,37.0,130.0,,,20.0,3,1,1,0,0,0,0,5.0,0.0,3.0,44.0,0.0,3.5,66.0,,,,,,,,18.3,3.0,0.0,55.0,0.0,2.0,0.0,0.0,,,,,2022,,,,3.0,1.0,1.0,14.0,0.0,1.0,23.0,5.0,0.0,0.0,30.0,0.0,1.0,45.0,,,,,,,,,,,,,
Kerby Joseph,Safety,Illinois,Big Ten,73.0,203.0,,18.0,38.5,123.0,,,21.0,4,1,1,1,0,0,0,2.0,0.0,1.0,41.0,0.0,1.0,57.0,0.0,0.0,3.0,,,,,2.4,5.0,0.0,12.0,,,,,,,,,2022,,,,0.0,0.0,0.0,12.0,0.0,0.0,19.0,3.0,0.0,0.0,13.0,0.0,1.0,30.0,,,,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,10.0
Percy Butler,Safety,Louisiana,Sun Belt,72.0,194.0,4.36,,31.5,123.0,,,22.0,4,1,1,1,1,0,0,4.0,0.0,0.0,36.0,0.0,6.0,60.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,2022,0.0,0.0,2.0,6.0,0.0,1.0,25.0,0.0,2.0,44.0,2.0,0.0,0.0,41.0,0.0,1.0,54.0,,,,,,,1.0,0.0,0.0,5.0,0.0,0.0,9.0
Dane Belton,Safety,Iowa,Big Ten,73.0,205.0,4.43,,36.5,123.0,7.01,4.24,21.0,3,1,1,1,0,0,0,7.0,3.0,0.0,30.0,0.0,3.0,46.0,,,,,,,,0.0,5.0,0.0,0.0,,,,,,,,,2022,,,,5.0,0.0,1.0,19.0,0.0,1.5,33.0,0.0,0.0,0.0,20.0,0.0,2.0,33.0,,,,,,,,,,,,,
Delarrin Turner-Yell,Safety,Oklahoma,Big 12,70.0,197.0,4.47,,,122.0,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,36.0,0.0,2.5,53.0,,,,42.0,1.0,0.0,42.0,0.0,3.0,0.0,0.0,,,,,,,,,2022,,,,1.0,0.0,0.5,33.0,0.0,2.0,50.0,3.0,1.0,0.0,60.0,0.0,5.5,75.0,,,,,,,1.0,0.0,0.0,7.0,0.0,0.0,12.0
Tycen Anderson,Safety,Toledo,Mid-American,74.0,209.0,4.36,,35.5,123.0,6.64,4.28,23.0,4,0,1,1,1,1,0,2.0,1.0,1.0,26.0,0.0,2.0,44.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2022,,,,2.0,0.0,1.0,16.0,0.0,1.0,34.0,5.0,0.0,0.0,41.0,0.0,3.5,84.0,,,,,,,4.0,0.0,0.0,32.0,0.0,1.0,45.0
Theo Jackson,Safety,Tennessee,SEC,74.0,203.0,,,,,,,23.0,4,0,1,1,1,1,0,11.0,4.0,1.5,37.0,1.0,9.0,78.0,,,,36.0,1.0,0.0,36.0,55.0,1.0,1.0,55.0,0.0,1.0,0.0,0.0,,,,,2022,0.0,0.0,1.0,2.0,0.0,0.0,19.0,0.0,1.0,31.0,2.0,0.0,0.0,29.0,0.0,1.0,53.0,,,,,,,2.0,0.0,0.0,16.0,0.0,1.0,20.0
Quentin Lake,Safety,UCLA,Pac-12,73.0,201.0,4.59,,,,,,23.0,4,0,1,1,1,1,0,6.0,1.0,0.0,39.0,0.0,2.0,53.0,,,,0.0,1.0,0.0,0.0,7.7,3.0,0.0,23.0,,,,,6.0,2.0,0.0,12.0,2022,,,,4.0,0.0,0.0,22.0,0.0,0.0,33.0,0.0,1.0,0.0,9.0,0.0,1.0,18.0,,,,,,,5.0,2.0,0.0,51.0,0.0,1.0,67.0
Russ Yeast,Safety,Kansas State,Big 12,70.0,195.0,,,,,,,23.0,4,0,1,1,1,1,0,10.0,0.0,0.0,37.0,0.0,1.5,47.0,,,,,,,,2.8,4.0,0.0,11.0,0.0,1.0,0.0,0.0,,,,,2022,0.0,0.0,3.0,3.0,2.0,0.0,31.0,0.0,0.5,45.0,4.0,1.0,0.0,38.0,0.0,1.0,61.0,,,,,,,0.0,0.0,1.0,4.0,0.0,2.0,7.0
Elijah Hicks,Safety,California,Pac-12,71.0,200.0,,,,,,,22.0,4,1,1,1,1,0,0,2.0,0.0,1.0,49.0,0.0,5.5,72.0,,,,30.0,1.0,0.0,30.0,0.7,3.0,0.0,2.0,,,,,34.0,1.0,1.0,34.0,2022,,,,2.0,0.0,0.0,18.0,0.0,0.0,28.0,5.0,0.0,2.0,27.0,0.0,2.0,42.0,,,,,,,2.0,0.0,0.0,20.0,0.0,5.0,26.0
Nazeeh Johnson,Safety,Marshall,Conference USA,74.0,189.0,,,,,,,24.0,4,0,0,1,1,1,1,5.0,1.0,0.0,43.0,0.0,2.5,67.0,,,,-3.5,2.0,0.0,-7.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,24.0,1.0,0.0,24.0,2022,0.0,0.0,2.0,2.0,0.0,0.0,29.0,0.0,0.0,59.0,6.0,0.0,0.0,50.0,0.0,0.5,88.0,,,,,,,5.0,1.0,0.0,37.0,0.0,1.0,55.0
